lon,lat
-68.36521883,10.5886201
-68.98677921,9.967059717
-70.41445582,6.89755502
-71.12829412,3.471131171
-71.12829412,-1.09743396
-70.79670645,-2.013247526
-70.56106031,-7.668754732
-66.4807586,-10.01492822
-66.33130073,-9.910957526
-65.86730583,-9.768189865
-65.15346753,-9.839573695
-65.36761902,-10.30356859
-65.22881998,-10.99756383
-63.74189028,-12.53405784
-63.01195263,-12.76631073
-62.15534666,-13.1589218
-61.69135177,-13.44445712
-61.22735687,-13.48014903
-60.72767006,-13.72999244
-60.26367516,-14.26537117
-60.19229133,-14.97920947
-60.19229133,-15.51458819
-60.04952367,-16.08565884
-59.44276112,-16.37119416
-58.94307431,-16.29981033
-58.30061983,-16.51396182
-58.26492792,-17.01364863
-57.69385728,-17.58471927
-57.40832196,-18.04871417
-57.69385728,-18.76255247
-57.94370068,-19.65485034
-58.19354409,-20.04746141
-57.90800877,-20.93975929
-57.90800877,-21.97482483
-57.08709472,-22.33174398
-56.65879174,-22.26036015
-55.87356961,-23.22404185
-56.40894834,-24.5089508
-57.55108962,-25.00863761
-58.83599856,-25.32986484
-62.9405688,-30.75503594
-65.04639179,-37.78634321
-67.15221478,-42.14075685
-67.54482584,-45.31733729
-67.83036116,-47.31608454
-68.50850755,-49.27913987
-69.18665394,-50.7782003
-69.14858256,-51.22553897
-68.84401155,-51.79660961
-68.61558329,-52.21539475
-68.63461898,-52.74839401
-68.4442621,-53.2433219
-67.85415577,-53.90957098
-67.43537064,-54.0428208
-66.59780036,-54.518713
-65.7411944,-54.65196282
-65.03687394,-54.72810557
-65.49373046,-54.95653383
-66.50262192,-54.97556951
-67.18790669,-54.95653383
-68.15872678,-54.8423197
-68.4442621,-54.86135539
-69.35797513,-54.9946052
-70.55722348,-54.78521263
-71.29961531,-54.518713
-72.09911421,-54.32835612
-72.84150604,-53.96667805
-73.58389788,-53.43367878
-74.68796778,-52.443823
-74.64847782,-52.41168902
-74.98400243,-51.99763738
-74.9554489,-51.1600671
-75.38375188,-50.64610353
-75.45037679,-50.15117564
-75.47893032,-49.45637302
-75.60266229,-48.92337376
-75.62169798,-48.58073137
-75.29809128,-48.0667678
-74.88882399,-47.80026816
-74.52714592,-47.58135775
-74.25112844,-47.25775105
-74.08932509,-46.98173358
-74.42244963,-46.7913767
-74.82219908,-46.76282317
-75.06014518,-46.62957335
-75.31712697,-46.65812688
-75.36471619,-46.44873431
-75.1077344,-46.26789528
-74.91737752,-45.96332427
-74.58425298,-45.67778895
-74.46052101,-45.37321794
-74.43196748,-45.07816477
-74.61280651,-44.72600454
-74.48907454,-44.19300528
-73.87993252,-43.82180936
-73.53729014,-43.94554133
-73.18512991,-43.94554133
-73.07091578,-43.84084505
-73.01380872,-43.50772051
-72.90911243,-43.26977441
-72.77586262,-42.9652034
-72.7282734,-42.67015024
-72.62357711,-42.50834689
-72.79489831,-42.2513651
-72.51888083,-42.09907959
-72.5569522,-42.06100822
-72.74730909,-41.9277584
-72.58550574,-41.64222308
-72.73779124,-41.4518662
-72.90911243,-41.40427698
-73.34693326,-41.72788368
-73.42307601,-41.48993758
-73.62295074,-41.55656248
-73.79427193,-41.51849111
-73.85137899,-41.28054501
-73.85137899,-40.975974
-73.69909349,-40.61429593
-73.60391505,-40.03370744
-73.42307601,-39.89093978
-73.26127266,-39.6149223
-73.16609422,-39.34842267
-73.33741541,-38.94867322
-73.46114739,-38.59651299
-73.40404032,-38.29194198
-73.38500463,-38.00640666
-73.50873661,-37.80653194
-73.57536152,-37.6256929
-73.58487936,-37.34967543
-73.50873661,-37.25449699
-73.28030835,-37.27353267
-73.16609422,-37.15931855
-73.08043363,-36.84522969
-72.89959459,-36.69294419
-72.77586262,-36.3503018
-72.71875555,-36.00765942
-72.52839867,-35.85537391
-72.51888083,-35.62694566
-72.36659532,-35.40803525
-72.24286335,-35.29382112
-72.07154216,-34.91310736
-71.94781019,-34.54191144
-71.93829234,-34.11360846
-71.76697115,-33.87566236
-71.62420349,-33.77096607
-71.57661427,-33.53301997
-71.62420349,-33.3236274
-71.53854289,-33.0856813
-71.37673955,-32.62882479
-71.35770386,-32.27666456
-71.46240014,-31.73414745
-71.57661427,-31.20114819
-71.63372133,-30.35406007
-71.35770386,-30.2303281
-71.23397189,-29.97334631
-71.22445404,-29.72588236
-71.31011464,-29.30709723
-71.44336445,-29.1072225
-71.37673955,-28.84072287
-71.18638267,-28.58374108
-71.11023991,-28.14592026
-70.96747225,-27.71761727
-70.82470459,-27.56533177
-70.8913295,-27.3559392
-70.86277597,-27.18461801
-70.72952615,-27.07040388
-70.74856184,-26.88956484
-70.68193693,-26.78486856
-70.66290124,-26.34704774
-70.55820496,-26.03295888
-70.72000831,-25.78549494
-70.49158005,-25.48092393
-70.39640161,-25.24297783
-70.49158005,-24.75756778
-70.5010979,-24.44347893
-70.48206221,-23.91999751
-70.42495514,-23.72964063
-70.30122317,-23.40603393
-70.39640161,-23.20615921
-70.24411611,-22.92062389
-70.20604473,-22.62557072
-70.06327707,-22.00691086
-70.00617001,-21.64523279
-69.95858079,-21.18837627
-70.11086629,-20.86476958
-70.0918306,-20.46502013
-70.05375923,-20.16044912
-70.12990198,-19.7226283
-70.16797335,-19.33239669
-70.29170533,-18.8374688
-70.25363395,-18.5995227
-70.3297767,-18.37109444
-70.6533834,-18.06652344
-70.98650794,-17.81905949
-71.29107895,-17.63822045
-71.37673955,-17.34316729
-71.57661427,-17.16232825
-71.94781019,-17.01956059
-72.12864922,-16.80065018
-72.51888083,-16.60077546
-72.94718381,-16.46752564
-73.45162954,-16.25813307
-73.99414665,-15.96307991
-74.44148532,-15.70609812
-74.79364555,-15.55381261
-75.16484147,-15.22068807
-75.42182326,-14.93515275
-75.87867977,-14.65913527
-75.96434036,-14.3831178
-76.17373293,-14.13565385
-76.16421509,-13.86915422
-76.15469725,-13.36470849
-76.28794706,-13.09820886
-76.57348238,-12.67942372
-76.87805339,-12.20353152
-76.99226752,-11.89896051
-77.41105266,-11.30885418
-77.80128426,-10.56646234
-78.1344088,-9.747927759
-78.56271178,-8.843732577
-78.96246123,-8.167965651
-79.29558577,-7.73966267
-79.46690697,-7.482680881
-79.70485307,-6.95919946
-79.99990623,-6.673664139
-80.4472449,-6.397646663
-80.91361926,-6.093075654
-81.05638692,-5.931272306
-80.88506572,-5.807540333
-80.80892297,-5.636219141
-80.90410141,-5.483933636
-80.99927985,-5.284058912
-81.03735123,-5.103219876
-81.02783339,-4.912862995
-81.18011889,-4.703470427
-81.22770811,-4.503595702
-81.12301183,-4.256131757
-80.9231371,-4.018185657
-80.78036944,-3.827828776
-80.47579843,-3.5518113
-80.16170958,-3.542293456
-79.95231701,-3.313865199
-79.74292444,-2.904597906
-79.63822816,-2.533401989
-79.72388875,-2.257384513
-79.69533522,-1.981367036
-79.81906719,-1.99088488
-80.05701329,-2.333527265
-80.28544155,-2.72375887
-80.34254862,-2.628580429
-80.51386981,-2.447741393
-80.85651219,-2.285938045
-80.78988728,-2.143170384
-80.685191,-2.009920568
-80.685191,-1.838599376
-80.73278022,-1.657760339
-80.685191,-1.467403459
-80.69470884,-1.248493046
-80.79940513,-1.086689698
-80.78036944,-1.010546945
-80.52338765,-0.905850661
-80.34254862,-0.658386717
-80.37110215,-0.38236924
-80.19026311,-0.249119424
-80.02845976,0.045933741
-79.9713527,0.436165346
-80.01894192,0.721700667
-79.62871031,0.921575391
-79.2575144,1.007235987
-79.06715752,1.026271676
-78.83872926,1.197592868
-78.76258651,1.359396216
-78.87680064,1.578306629
-78.81969357,1.721074289
-78.55319394,1.673485069
-78.43897981,1.844806262
-78.61981885,2.10178805
-78.51512256,2.311180619
-78.15344449,2.396841215
-77.87742701,2.453948279
-77.62044522,2.701412224
-77.30635637,3.253447177
-76.99226752,3.75789291
