index,lon,lat,age,plate_id
0,-157.24,57.05,1,16112
1,-158.4,56.52,4,16112
2,-127.85,50.68,5,16110
3,-157.24,57.05,6,16112
4,-127.58,50.33,6,16110
5,-158.41,56.15,7,16112
6,-160.68,55.63,7,16112
7,-127.5,50.38,7,16110
8,-158.41,56.15,7,16112
9,-159.42,55.89,8,16112
10,-159.42,55.89,8,16112
11,-160.68,55.64,8,16112
12,-160.63,55.25,15,16112
13,-122.08,46.36,17,173
14,-121.64,47.68,18,173
15,-120.98,48.2,21,173
16,-121.37,47.5,25,173
17,-130.48,55.4,27,16124
18,-121.5,48.01,28,173
19,-109.63,44.02,29,101
20,-101.95,19.0,33,215
21,-102.08,19.08,34,215
22,-137.08,59.02,34,16122
23,-107.75,27.01,34,104
24,-125.3,49.76,35,16110
25,-125.25,49.76,35,16110
26,-115.5,32.42,36,101
27,-125.98,49.26,37,16110
28,-126.81,50.03,38,16110
29,-100.99,26.71,39,101
30,-109.29,43.87,40,101
31,-109.67,44.03,40,101
32,-112.36,47.03,46,154
33,-110.07,29.9,47,101
34,-107.4,26.23,47,104
35,-126.9,54.81,48,16101
36,-131.55,57.06,48,16101
37,-127.27,54.23,48,16101
38,-127.69,53.75,48,16101
39,-127.02,53.86,48,16101
40,-127.18,53.85,48,16101
41,-129.42,55.42,49,16101
42,-125.41,49.68,49,16110
43,-125.96,49.25,49,16110
44,-125.99,49.27,49,16110
45,-107.24,25.01,49,104
46,-126.31,55.41,49,16101
47,-109.6,32.93,50,101
48,-127.44,53.8,50,16101
49,-111.32,43.09,50,178
50,-109.15,28.37,50,104
51,-126.32,55.19,50,16101
52,-109.5,30.3,51,101
53,-126.16,54.94,51,16101
54,-110.07,29.9,52,101
55,-107.35,25.67,52,104
56,-126.0,54.85,52,16101
57,-126.2,55.27,52,16101
58,-109.73,30.38,52,101
59,-126.24,55.29,52,16101
60,-107.72,26.99,52,104
61,-107.75,27.0,52,104
62,-126.9,54.81,53,16101
63,-107.68,27.57,53,104
64,-126.23,55.0,53,16101
65,-126.88,56.11,53,16101
66,-109.72,30.38,53,101
67,-110.03,32.09,53,101
68,-109.63,30.34,53,101
69,-109.63,30.34,53,101
70,-110.32,30.95,54,101
71,-110.66,29.93,54,101
72,-119.34,49.39,54,154
73,-109.6,32.93,55,101
74,-111.12,31.87,55,101
75,-109.62,28.53,55,104
76,-106.1,23.27,55,104
77,-109.5,30.3,56,101
78,-108.07,32.79,56,101
79,-109.34,33.09,56,101
80,-108.07,32.81,56,101
81,-108.37,32.63,56,101
82,-109.7,30.27,56,101
83,-141.32,63.52,56,16105
84,-111.02,31.97,56,101
85,-110.07,29.9,57,101
86,-107.35,25.67,57,104
87,-110.76,31.83,57,101
88,-110.76,31.83,57,101
89,-122.6,51.13,57,16101
90,-109.66,28.39,57,104
91,-109.75,30.48,57,101
92,-118.62,49.01,57,16107
93,-109.8,28.41,57,104
94,-126.9,54.81,58,16101
95,-142.51,63.37,58,16105
96,-110.48,32.75,58,101
97,-111.07,31.98,58,101
98,-109.03,27.0,58,104
99,-108.23,26.72,58,104
100,-111.03,31.88,58,101
101,-108.08,32.85,59,101
102,-110.32,30.95,59,101
103,-110.45,31.12,59,101
104,-110.18,30.85,59,101
105,-110.28,31.0,59,101
106,-110.95,33.4,59,101
107,-111.22,33.04,60,101
108,-110.72,31.49,60,101
109,-111.0,33.38,60,101
110,-106.1,23.6,60,104
111,-110.74,33.42,60,101
112,-109.02,27.17,60,104
113,-110.97,33.16,61,101
114,-109.46,30.41,61,101
115,-110.94,33.33,61,101
116,-110.9,33.34,61,101
117,-121.42,50.92,61,16102
118,-110.9,33.34,61,101
119,-104.4,29.81,61,101
120,-110.76,31.83,62,101
121,-110.76,31.83,62,101
122,-110.42,31.06,62,101
123,-111.43,33.04,62,101
124,-111.42,33.12,62,101
125,-111.8,32.96,63,101
126,-112.85,32.36,63,101
127,-124.49,51.22,63,16101
