lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-157.240,57.050,1.000,16112.000,-157.230,57.204,0.034,256.000,-154.650,55.910,5.490,11.790,1.770,-130.170,0.160,315.660,901.000,111.000,7.250,7.250,5.370,1.120,-1.140,-1.350,-4.240,-3.320,4.240,-0.250,47.060,0.070,62.190,112.850,2.210
-158.400,56.520,4.000,16112.000,-158.368,57.134,0.033,239.000,-156.470,55.590,5.560,2.020,1.760,-139.270,0.150,324.200,901.000,111.000,8.600,8.600,5.560,0.200,-1.330,-1.150,-4.340,-12.850,4.230,-0.970,43.900,0.060,49.880,111.620,2.190
-127.850,50.680,5.000,16110.000,-127.112,51.567,0.017,295.000,-128.330,50.980,4.430,11.220,2.230,162.180,0.170,45.360,903.000,101.000,0.970,14.420,4.350,0.860,-2.120,0.680,-2.710,34.670,2.230,1.540,2.050,0.010,5.430,45.410,1.120
-157.240,57.050,6.000,16112.000,-157.178,57.984,0.034,252.000,-154.510,56.710,5.380,13.230,1.800,-129.300,0.160,314.960,901.000,111.000,7.250,7.250,5.240,1.230,-1.140,-1.390,-4.110,-2.410,4.110,-0.170,35.510,0.060,64.670,99.470,2.080
-127.580,50.330,6.000,16110.000,-126.684,51.395,0.015,298.000,-127.810,50.910,4.440,11.020,2.240,162.370,0.190,45.660,903.000,101.000,1.320,12.790,4.360,0.850,-2.130,0.680,-2.700,34.360,2.230,1.520,3.360,0.020,11.890,47.510,1.130
-158.410,56.150,7.000,16112.000,-158.339,57.229,0.028,244.000,-156.610,55.970,5.520,2.860,1.770,-138.660,0.150,323.590,901.000,111.000,8.750,8.750,5.510,0.270,-1.330,-1.170,-4.280,-12.260,4.180,-0.910,34.230,0.050,67.930,97.400,2.090
-160.680,55.630,7.000,16112.000,-160.654,56.684,0.033,235.000,-158.880,55.060,5.670,-4.340,1.730,-144.750,0.150,328.880,901.000,111.000,10.330,10.330,5.660,-0.430,-1.420,-1.000,-4.480,-18.780,4.250,-1.440,35.840,0.060,65.570,99.770,2.120
-127.500,50.380,7.000,16110.000,-126.446,51.622,0.016,300.000,-127.650,51.080,4.450,10.820,2.240,162.500,0.170,45.670,903.000,101.000,1.320,14.600,4.370,0.840,-2.140,0.670,-2.700,33.980,2.240,1.510,3.020,0.020,8.570,46.990,1.140
-158.410,56.150,7.000,16112.000,-158.339,57.229,0.028,244.000,-156.610,55.970,5.520,2.860,1.770,-138.660,0.150,323.590,901.000,111.000,8.750,8.750,5.510,0.270,-1.330,-1.170,-4.280,-12.260,4.180,-0.910,34.230,0.050,67.930,97.400,2.090
-159.420,55.890,8.000,16112.000,-159.360,57.113,0.030,243.000,-157.530,55.720,5.560,4.230,1.760,-136.880,0.180,321.520,901.000,111.000,9.420,9.420,5.550,0.410,-1.290,-1.200,-4.340,-10.710,4.270,-0.810,35.130,0.070,63.190,98.880,2.030
-159.420,55.890,8.000,16112.000,-159.360,57.113,0.030,243.000,-157.530,55.720,5.560,4.230,1.760,-136.880,0.180,321.520,901.000,111.000,9.420,9.420,5.550,0.410,-1.290,-1.200,-4.340,-10.710,4.270,-0.810,35.130,0.070,63.190,98.880,2.030
-160.680,55.640,8.000,16112.000,-160.650,56.846,0.033,238.000,-158.860,55.210,5.650,-4.060,1.740,-144.590,0.150,328.730,901.000,111.000,10.330,10.330,5.640,-0.400,-1.420,-1.010,-4.460,-18.600,4.230,-1.420,33.630,0.050,67.000,96.270,2.080
-160.630,55.250,15.000,16112.000,-160.274,57.527,0.027,243.000,-159.260,56.070,4.620,-25.810,1.800,-140.810,0.190,336.580,901.000,111.000,10.830,10.830,4.160,-2.010,-1.400,-1.140,-4.200,-48.880,2.760,-3.170,34.280,0.050,46.340,97.430,2.090
-122.080,46.360,17.000,173.000,-118.798,49.262,0.045,332.000,-122.640,48.850,4.370,-37.380,2.460,144.910,0.180,77.010,903.000,101.000,5.790,11.350,3.470,-2.650,-2.020,1.420,-1.910,-40.550,1.450,-1.240,9.050,0.020,45.940,56.280,1.460
-121.640,47.680,18.000,173.000,-118.057,50.738,0.054,320.000,-122.850,50.210,4.400,-36.720,2.450,145.210,0.180,76.210,903.000,101.000,4.560,12.590,3.530,-2.630,-2.010,1.400,-1.960,-39.340,1.510,-1.240,9.990,0.020,43.770,58.520,1.460
