lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-72.970,-45.900,0.000,283.000,-72.970,-45.900,0.031,750.000,-75.550,-45.840,2.230,6.990,1.520,154.050,0.160,92.890,802.000,201.000,5.880,5.880,2.210,0.270,-1.370,0.670,-1.260,48.090,0.840,0.940,0.790,0.000,20.170,64.530,0.860
-72.950,-40.710,0.000,283.000,-72.950,-40.710,0.028,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.950,-41.870,0.000,283.000,-72.950,-41.870,0.029,769.000,-75.190,-41.680,8.860,-17.540,1.610,151.510,0.170,96.830,911.000,201.000,10.110,10.110,8.450,-2.670,-1.420,0.770,-7.280,-15.070,7.030,-1.890,14.730,0.060,89.470,64.840,1.420
-72.739,-46.179,0.000,28800.000,-72.739,-46.179,0.034,747.000,-75.560,-46.000,2.220,7.010,1.520,153.980,0.160,92.890,802.000,201.000,5.720,5.720,2.200,0.270,-1.360,0.670,-1.260,48.150,0.840,0.940,0.790,0.000,20.170,64.530,0.860
-72.700,-46.165,0.000,28800.000,-72.700,-46.165,0.035,747.000,-75.560,-46.000,2.220,7.010,1.520,153.980,0.160,92.890,802.000,201.000,5.720,5.720,2.200,0.270,-1.360,0.670,-1.260,48.150,0.840,0.940,0.790,0.000,20.170,64.530,0.860
-72.600,-42.720,0.000,283.000,-72.600,-42.720,0.035,762.000,-75.330,-42.550,8.830,-17.600,1.590,151.150,0.170,96.930,911.000,201.000,9.230,9.230,8.420,-2.670,-1.400,0.770,-7.270,-15.090,7.020,-1.890,13.640,0.060,89.470,63.520,1.400
-72.600,-42.730,0.000,283.000,-72.600,-42.730,0.035,762.000,-75.330,-42.550,8.830,-17.600,1.590,151.150,0.170,96.930,911.000,201.000,9.230,9.230,8.420,-2.670,-1.400,0.770,-7.270,-15.090,7.020,-1.890,13.640,0.060,89.470,63.520,1.400
-72.600,-42.930,0.000,283.000,-72.600,-42.930,0.036,761.000,-75.360,-42.700,8.830,-17.410,1.590,151.290,0.120,96.740,911.000,201.000,9.080,9.080,8.420,-2.640,-1.400,0.760,-7.270,-14.890,7.030,-1.870,13.640,0.040,89.470,63.520,1.400
-72.560,-46.123,0.000,28800.000,-72.560,-46.123,0.036,747.000,-75.560,-46.000,2.220,7.010,1.520,153.980,0.160,92.890,802.000,201.000,5.720,5.720,2.200,0.270,-1.360,0.670,-1.260,48.150,0.840,0.940,0.790,0.000,20.170,64.530,0.860
-72.530,-41.140,0.000,283.000,-72.530,-41.140,0.034,776.000,-75.060,-40.830,8.880,-18.700,1.630,150.650,0.180,97.960,911.000,201.000,10.970,10.970,8.410,-2.850,-1.420,0.800,-7.290,-16.270,6.990,-2.040,20.520,0.080,99.900,73.420,1.490
-72.520,-41.150,0.000,283.000,-72.520,-41.150,0.034,776.000,-75.060,-40.830,8.880,-18.700,1.630,150.650,0.180,97.960,911.000,201.000,10.970,10.970,8.410,-2.850,-1.420,0.800,-7.290,-16.270,6.990,-2.040,20.520,0.080,99.900,73.420,1.490
-72.270,-41.300,0.000,283.000,-72.270,-41.300,0.038,775.000,-75.100,-41.000,8.880,-18.710,1.630,150.570,0.180,97.980,911.000,201.000,10.790,10.790,8.410,-2.850,-1.420,0.800,-7.280,-16.270,6.990,-2.040,20.520,0.080,99.900,73.420,1.490
-72.240,-40.510,0.000,283.000,-72.240,-40.510,0.037,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.225,-41.300,0.000,283.000,-72.225,-41.300,0.038,775.000,-75.100,-41.000,8.880,-18.710,1.630,150.570,0.180,97.980,911.000,201.000,10.790,10.790,8.410,-2.850,-1.420,0.800,-7.280,-16.270,6.990,-2.040,20.520,0.080,99.900,73.420,1.490
-72.190,-40.780,0.000,283.000,-72.190,-40.780,0.038,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.153,-40.771,0.000,283.000,-72.153,-40.771,0.038,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.147,-40.662,0.000,283.000,-72.147,-40.662,0.038,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.141,-40.633,0.000,283.000,-72.141,-40.633,0.038,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.120,-40.590,0.000,283.000,-72.120,-40.590,0.038,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.106,-40.596,0.000,283.000,-72.106,-40.596,0.039,781.000,-75.010,-40.510,8.890,-17.820,1.640,151.630,0.150,97.060,911.000,201.000,11.290,11.290,8.460,-2.720,-1.440,0.780,-7.290,-15.400,7.030,-1.940,20.520,0.070,99.900,73.420,1.490
-72.000,-39.930,0.000,283.000,-72.000,-39.930,0.040,780.000,-75.010,-39.990,8.910,-9.130,1.650,160.460,0.180,88.380,911.000,201.000,11.810,11.810,8.790,-1.410,-1.550,0.550,-7.290,-6.720,7.240,-0.850,22.880,0.090,103.310,78.790,1.630
