age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
0.0,-72.97,-45.9,283.0,-72.97,-45.9,0.031,750.0,-75.55,-45.84,2.23,6.99,1.52,154.05,0.16,92.89,802.0,201.0,5.88,5.88,2.21,0.27,-1.37,0.67,-1.26,48.09,0.84,0.94,0.79,0.0,20.17,64.53,0.86
0.0,-72.95,-40.71,283.0,-72.95,-40.71,0.028,781.0,-75.01,-40.51,8.89,-17.82,1.64,151.63,0.15,97.06,911.0,201.0,11.29,11.29,8.46,-2.72,-1.44,0.78,-7.29,-15.4,7.03,-1.94,20.52,0.07,99.9,73.42,1.49
0.0,-72.95,-41.87,283.0,-72.95,-41.87,0.029,769.0,-75.19,-41.68,8.86,-17.54,1.61,151.51,0.17,96.83,911.0,201.0,10.11,10.11,8.45,-2.67,-1.42,0.77,-7.28,-15.07,7.03,-1.89,14.73,0.06,89.47,64.84,1.42
0.0,-72.73899999999998,-46.179,28800.0,-72.73899999999998,-46.179,0.034,747.0,-75.56,-46.0,2.22,7.01,1.52,153.98,0.16,92.89,802.0,201.0,5.72,5.72,2.2,0.27,-1.36,0.67,-1.26,48.15,0.84,0.94,0.79,0.0,20.17,64.53,0.86
0.0,-72.7,-46.165,28800.0,-72.7,-46.165,0.035,747.0,-75.56,-46.0,2.22,7.01,1.52,153.98,0.16,92.89,802.0,201.0,5.72,5.72,2.2,0.27,-1.36,0.67,-1.26,48.15,0.84,0.94,0.79,0.0,20.17,64.53,0.86
0.0,-72.6,-42.72,283.0,-72.6,-42.72,0.035,762.0,-75.33,-42.55,8.83,-17.6,1.59,151.15,0.17,96.93,911.0,201.0,9.23,9.23,8.42,-2.67,-1.4,0.77,-7.27,-15.09,7.02,-1.89,13.64,0.06,89.47,63.52,1.4
0.0,-72.6,-42.73,283.0,-72.6,-42.73,0.035,762.0,-75.33,-42.55,8.83,-17.6,1.59,151.15,0.17,96.93,911.0,201.0,9.23,9.23,8.42,-2.67,-1.4,0.77,-7.27,-15.09,7.02,-1.89,13.64,0.06,89.47,63.52,1.4
0.0,-72.6,-42.93,283.0,-72.6,-42.93,0.036000000000000004,761.0,-75.36,-42.7,8.83,-17.41,1.59,151.29,0.12,96.74,911.0,201.0,9.08,9.08,8.42,-2.64,-1.4,0.76,-7.27,-14.89,7.03,-1.87,13.64,0.04,89.47,63.52,1.4
0.0,-72.56,-46.12300000000001,28800.0,-72.56,-46.12300000000001,0.036000000000000004,747.0,-75.56,-46.0,2.22,7.01,1.52,153.98,0.16,92.89,802.0,201.0,5.72,5.72,2.2,0.27,-1.36,0.67,-1.26,48.15,0.84,0.94,0.79,0.0,20.17,64.53,0.86
0.0,-72.53,-41.14,283.0,-72.53,-41.14,0.034,776.0,-75.06,-40.83,8.88,-18.7,1.63,150.65,0.18,97.96,911.0,201.0,10.97,10.97,8.41,-2.85,-1.42,0.8,-7.29,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49
0.0,-72.52,-41.15,283.0,-72.52,-41.15,0.034,776.0,-75.06,-40.83,8.88,-18.7,1.63,150.65,0.18,97.96,911.0,201.0,10.97,10.97,8.41,-2.85,-1.42,0.8,-7.29,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49
