,lat,lon,recon_lon,recon_lat,age,prob,method
0,63.0,-148.28,-148.28,63.0,0.0,0.38032352510613376,Random_Forest
1,22.72,-105.0,-105.0,22.72,0.0,0.45878506356767224,Random_Forest
2,51.58,-123.85,-123.85,51.58,0.0,0.5768453768453768,Random_Forest
3,60.43,-141.44,-141.44,60.43,0.0,0.38032352510613376,Random_Forest
4,64.94,-140.3,-140.3,64.94,0.0,0.38032352510613376,Random_Forest
5,60.29,-156.42,-156.42,60.29,0.0,0.8244469533472092,Random_Forest
6,19.0,-102.29,-102.29,19.0,0.0,0.95,Random_Forest
7,19.41,-97.48,-97.48,19.41,0.0,0.801434636217245,Random_Forest
8,44.19,-120.28,-120.28,44.19,0.0,0.47759625237886105,Random_Forest
9,40.3,-121.61,-121.61,40.3,0.0,0.4406837606837607,Random_Forest
10,54.71,-129.31,-129.31,54.71,0.0,0.4768453768453768,Random_Forest
11,48.19,-118.89,-118.89,48.19,0.0,0.39241106719367586,Random_Forest
12,56.54,-159.28,-159.28,56.54,0.0,0.6523052464228934,Random_Forest
13,55.22,-161.92,-161.92,55.22,0.0,0.6523052464228934,Random_Forest
14,61.76,-144.72,-144.72,61.76,0.0,0.38032352510613376,Random_Forest
15,60.75,-148.28,-148.28,60.75,0.0,0.4803235251061338,Random_Forest
16,59.77,-134.77,-134.77,59.77,0.0,0.38032352510613376,Random_Forest
17,64.02,-144.43,-144.43,64.02,0.0,0.38032352510613376,Random_Forest
18,61.26,-137.69,-137.69,61.26,0.0,0.38032352510613376,Random_Forest
19,63.5,-136.86,-136.86,63.5,0.0,0.38032352510613376,Random_Forest
20,62.68,-140.91,-140.91,62.68,0.0,0.38032352510613376,Random_Forest
21,58.05,-155.91,-155.91,58.05,0.0,0.8244469533472092,Random_Forest
22,61.7,-152.53,-152.53,61.7,0.0,0.7394469533472091,Random_Forest
23,24.56,-106.41,-106.41,24.56,0.0,0.45878506356767224,Random_Forest
24,20.86,-103.62,-103.62,20.86,0.0,0.45878506356767224,Random_Forest
25,24.87,-103.94,-103.94,24.87,0.0,0.45878506356767224,Random_Forest
26,21.11,-101.2,-101.2,21.11,0.0,0.61,Random_Forest
27,22.98,-102.55,-102.55,22.98,0.0,0.45878506356767224,Random_Forest
28,17.33,-98.6,-98.6,17.33,0.0,0.801434636217245,Random_Forest
29,19.22,-99.89,-99.89,19.22,0.0,0.8903235251061339,Random_Forest
30,15.44,-92.42,-92.42,15.44,0.0,0.6405405405405405,Random_Forest
31,17.41,-96.15,-96.15,17.41,0.0,0.865323525106134,Random_Forest
32,17.49,-91.24,-91.24,17.49,0.0,0.6405405405405405,Random_Forest
33,17.46,-93.69,-93.69,17.46,0.0,0.625,Random_Forest
34,43.87,-123.1,-123.1,43.87,0.0,0.47759625237886105,Random_Forest
