lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-153.092,60.032,0.000,16112.000,-153.092,60.032,0.042,275.000,-150.040,58.210,5.150,14.790,1.840,-130.700,0.190,317.350,901.000,111.000,3.730,3.730,4.980,1.320,-1.200,-1.390,-3.790,-1.360,3.790,-0.090,39.360,0.070,75.800,105.850,2.040
-153.435,59.363,0.000,16112.000,-153.435,59.363,0.036,273.000,-150.570,57.950,5.190,14.680,1.830,-130.420,0.190,316.900,901.000,111.000,4.110,4.110,5.020,1.320,-1.190,-1.390,-3.850,-1.340,3.840,-0.090,39.360,0.070,68.810,105.850,2.040
-153.535,58.860,0.000,16112.000,-153.535,58.860,0.030,270.000,-151.350,57.560,5.250,14.510,1.820,-129.990,0.190,316.240,901.000,111.000,4.690,4.690,5.080,1.320,-1.170,-1.390,-3.920,-1.320,3.920,-0.090,42.020,0.070,68.810,108.470,2.060
-153.674,58.770,0.000,16112.000,-153.674,58.770,0.030,270.000,-151.350,57.560,5.250,14.510,1.820,-129.990,0.190,316.240,901.000,111.000,4.690,4.690,5.080,1.320,-1.170,-1.390,-3.920,-1.320,3.920,-0.090,42.020,0.070,68.810,108.470,2.060
-154.357,58.453,0.000,16112.000,-154.357,58.453,0.031,267.000,-152.110,57.160,5.310,14.350,1.810,-129.560,0.190,315.600,901.000,111.000,5.260,5.260,5.140,1.320,-1.150,-1.390,-4.000,-1.290,4.000,-0.090,42.020,0.070,68.810,108.470,2.060
-154.686,58.334,0.000,16112.000,-154.686,58.334,0.032,267.000,-152.110,57.160,5.310,14.350,1.810,-129.560,0.190,315.600,901.000,111.000,5.260,5.260,5.140,1.320,-1.150,-1.390,-4.000,-1.290,4.000,-0.090,42.020,0.070,68.810,108.470,2.060
-154.953,58.279,0.000,16112.000,-154.953,58.279,0.033,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-155.103,58.234,0.000,16112.000,-155.103,58.234,0.033,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-155.104,58.357,0.000,16112.000,-155.104,58.357,0.035,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-155.159,58.265,0.000,16112.000,-155.159,58.265,0.034,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-155.254,58.195,0.000,16112.000,-155.254,58.195,0.034,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-155.357,58.169,0.000,16112.000,-155.357,58.169,0.034,265.000,-152.610,56.890,5.350,14.240,1.800,-129.270,0.190,315.180,901.000,111.000,5.640,5.640,5.180,1.320,-1.140,-1.390,-4.050,-1.280,4.050,-0.090,42.020,0.070,68.810,108.470,2.060
-156.370,57.750,0.000,16112.000,-156.370,57.750,0.036,261.000,-153.590,56.350,5.420,14.030,1.780,-128.670,0.190,314.360,901.000,111.000,6.410,6.410,5.260,1.320,-1.110,-1.390,-4.160,-1.240,4.160,-0.090,44.170,0.080,66.300,112.260,2.140
-156.514,57.834,0.000,16112.000,-156.514,57.834,0.038,261.000,-153.590,56.350,5.420,14.030,1.780,-128.670,0.190,314.360,901.000,111.000,6.410,6.410,5.260,1.320,-1.110,-1.390,-4.160,-1.240,4.160,-0.090,44.170,0.080,66.300,112.260,2.140
-156.991,57.133,0.000,16112.000,-156.991,57.133,0.033,257.000,-154.470,55.860,5.490,11.540,1.770,-130.460,0.160,315.970,901.000,111.000,7.090,7.090,5.380,1.100,-1.150,-1.350,-4.250,-3.520,4.240,-0.260,44.170,0.070,66.300,112.260,2.140
-158.209,56.906,0.000,16112.000,-158.209,56.906,0.037,249.000,-156.330,55.040,5.630,-5.740,1.740,-146.680,0.160,331.610,901.000,111.000,8.440,8.440,5.600,-0.560,-1.450,-0.960,-4.420,-20.280,4.150,-1.530,51.200,0.070,42.530,121.580,2.220
-159.393,56.198,0.000,16112.000,-159.393,56.198,0.034,244.000,-157.460,54.590,5.700,2.020,1.720,-138.350,0.180,322.910,901.000,111.000,9.240,9.240,5.700,0.200,-1.280,-1.140,-4.520,-12.190,4.420,-0.950,52.250,0.090,41.870,122.870,2.220
-159.791,56.013,0.000,16112.000,-159.791,56.013,0.034,243.000,-157.700,54.480,5.720,2.020,1.710,-138.220,0.180,322.710,901.000,111.000,9.420,9.420,5.720,0.200,-1.280,-1.140,-4.550,-12.120,4.450,-0.950,52.030,0.090,41.870,122.540,2.210
