lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-66.280,-27.370,6.000,202.000,-65.220,-27.064,0.083,899.000,-70.500,-26.450,10.880,-14.880,1.860,156.600,0.200,95.960,911.000,201.000,25.770,25.770,10.510,-2.790,-1.710,0.740,-9.040,-13.090,8.810,-2.050,60.370,0.180,28.710,131.950,2.150
-69.370,-31.300,170.000,202.000,-45.406,-32.470,0.046,980.000,-48.480,-31.970,3.830,-10.850,-0.460,-6.570,0.200,98.660,919.000,201.000,4.980,4.980,3.760,-0.720,0.450,-0.050,-4.280,-10.390,4.210,-0.770,18.690,0.040,0.000,74.440,2.120
-69.750,-30.500,12.000,202.000,-67.521,-29.967,0.039,921.000,-70.120,-29.790,11.880,-12.510,2.560,177.240,0.200,95.910,911.000,201.000,22.380,22.380,11.600,-2.570,-2.550,0.120,-9.370,-15.110,9.050,-2.440,63.650,0.210,16.710,135.080,2.240
-66.650,-27.270,9.000,202.000,-65.060,-26.818,0.077,937.000,-69.970,-26.300,10.870,-14.770,1.850,157.040,0.200,96.000,911.000,201.000,25.600,25.600,10.510,-2.770,-1.710,0.720,-9.040,-13.050,8.810,-2.040,73.670,0.200,20.210,143.370,2.450
-66.610,-27.330,8.000,202.000,-65.196,-26.926,0.078,915.000,-70.150,-26.350,10.870,-14.810,1.860,156.890,0.200,95.990,911.000,201.000,25.650,25.650,10.510,-2.780,-1.710,0.730,-9.040,-13.070,8.810,-2.040,71.030,0.200,17.860,141.670,2.450
-66.550,-27.400,7.000,202.000,-65.313,-27.044,0.079,904.000,-70.330,-26.400,10.880,-14.850,1.860,156.740,0.200,95.970,911.000,201.000,25.710,25.710,10.510,-2.790,-1.710,0.730,-9.040,-13.080,8.810,-2.050,65.000,0.190,24.590,136.410,2.150
-66.570,-27.280,8.000,202.000,-65.156,-26.876,0.078,915.000,-70.150,-26.350,10.870,-14.810,1.860,156.890,0.200,95.990,911.000,201.000,25.650,25.650,10.510,-2.780,-1.710,0.730,-9.040,-13.070,8.810,-2.040,71.030,0.200,17.860,141.670,2.450
-67.900,-26.300,14.000,202.000,-65.151,-25.788,0.057,1049.000,-68.700,-25.280,11.940,-12.550,2.620,177.250,0.200,95.820,911.000,201.000,31.460,31.460,11.650,-2.590,-2.610,0.130,-9.370,-15.240,9.040,-2.460,72.280,0.220,8.700,142.280,2.420
-70.580,-38.250,85.000,283.000,-52.523,-40.597,0.056,1018.000,-56.730,-40.500,2.740,-87.150,2.320,-122.440,0.160,94.960,904.000,201.000,21.190,21.190,0.140,-2.740,-1.240,-1.960,4.830,-103.010,-1.090,-4.710,23.130,0.000,2.530,78.990,2.090
-69.170,-30.000,170.000,202.000,-45.132,-31.180,0.048,991.000,-48.280,-30.790,3.740,-11.120,-0.440,-6.780,0.200,98.550,919.000,201.000,6.170,6.170,3.670,-0.720,0.440,-0.050,-4.180,-10.660,4.100,-0.770,16.500,0.030,0.000,64.610,2.000
-70.050,-31.950,13.000,202.000,-67.556,-31.427,0.037,1009.000,-70.020,-31.190,11.850,-12.380,2.530,177.350,0.200,95.940,911.000,201.000,26.000,26.000,11.580,-2.540,-2.530,0.120,-9.370,-14.960,9.050,-2.420,60.950,0.200,17.680,132.440,2.240
-66.600,-24.130,13.000,202.000,-64.116,-23.610,0.074,1066.000,-68.750,-23.320,11.940,-12.710,2.640,177.140,0.200,95.780,911.000,201.000,33.970,33.970,11.640,-2.630,-2.640,0.130,-9.340,-15.440,9.010,-2.490,86.620,0.230,6.530,151.000,2.570
-70.450,-31.760,10.000,202.000,-68.678,-31.252,0.031,914.000,-70.720,-31.000,10.850,-14.330,1.890,161.430,0.200,96.030,911.000,201.000,21.650,21.650,10.510,-2.690,-1.790,0.600,-8.970,-13.400,8.720,-2.080,60.210,0.180,23.610,135.090,2.120
-66.220,-27.380,6.000,202.000,-65.160,-27.074,0.084,899.000,-70.500,-26.450,10.880,-14.880,1.860,156.600,0.200,95.960,911.000,201.000,25.770,25.770,10.510,-2.790,-1.710,0.740,-9.040,-13.090,8.810,-2.050,60.370,0.180,28.710,131.950,2.150
-66.760,-25.140,15.000,202.000,-63.756,-24.637,0.073,1005.000,-68.340,-24.320,12.810,-22.390,2.630,177.390,0.200,95.730,911.000,201.000,31.900,31.900,11.850,-4.880,-2.620,0.120,-10.380,-27.230,9.230,-4.750,77.180,0.230,7.710,146.310,2.570
-70.630,-39.180,170.000,283.000,-45.162,-42.219,0.057,888.000,-49.540,-42.120,4.550,-4.190,-0.570,-0.490,0.150,93.690,919.000,291.000,5.500,16.130,4.540,-0.330,0.570,-0.000,-5.120,-3.770,5.110,-0.340,68.570,0.070,66.120,139.730,2.610
-67.750,-29.000,4.000,202.000,-67.041,-28.792,0.066,872.000,-71.280,-28.010,9.020,-26.420,1.850,147.020,0.190,104.990,911.000,201.000,23.920,23.920,8.080,-4.010,-1.550,1.010,-7.190,-24.670,6.530,-3.000,49.250,0.120,38.480,119.040,2.200
-65.870,-24.200,15.000,202.000,-62.871,-23.697,0.086,1015.000,-68.230,-23.340,12.750,-22.500,2.640,177.400,0.200,95.690,911.000,201.000,32.870,32.870,11.780,-4.880,-2.640,0.120,-10.310,-27.420,9.150,-4.750,83.180,0.230,7.710,149.490,2.560
-69.080,-32.420,14.000,202.000,-66.325,-31.908,0.052,1004.000,-69.830,-31.790,11.840,-12.240,2.520,177.470,0.200,95.930,911.000,201.000,24.850,24.850,11.570,-2.510,-2.520,0.110,-9.370,-14.800,9.060,-2.390,58.440,0.200,19.760,133.460,2.220
