lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-66.28,-27.37,6.0,202.0,-65.22,-27.064,0.083,899.0,-70.5,-26.45,10.88,-14.88,1.86,156.6,0.2,95.96,911.0,201.0,25.77,25.77,10.51,-2.79,-1.71,0.74,-9.04,-13.09,8.81,-2.05,60.37,0.18,28.71,131.95,2.15
-69.37,-31.3,170.0,202.0,-45.406000000000006,-32.47,0.046,980.0,-48.48,-31.97,3.83,-10.85,-0.46,-6.57,0.2,98.66,919.0,201.0,4.98,4.98,3.76,-0.72,0.45,-0.05,-4.28,-10.39,4.21,-0.77,18.69,0.04,0.0,74.44,2.12
-69.75,-30.5,12.0,202.0,-67.521,-29.967,0.039,921.0,-70.12,-29.79,11.88,-12.51,2.56,177.24,0.2,95.91,911.0,201.0,22.38,22.38,11.6,-2.57,-2.55,0.12,-9.37,-15.11,9.05,-2.44,63.65,0.21,16.71,135.08,2.24
-66.65,-27.27,9.0,202.0,-65.06,-26.818,0.077,937.0,-69.97,-26.3,10.87,-14.77,1.85,157.04,0.2,96.0,911.0,201.0,25.6,25.6,10.51,-2.77,-1.71,0.72,-9.04,-13.05,8.81,-2.04,73.67,0.2,20.21,143.37,2.45
-66.61,-27.33,8.0,202.0,-65.196,-26.926,0.078,915.0,-70.15,-26.35,10.87,-14.81,1.86,156.89,0.2,95.99,911.0,201.0,25.65,25.65,10.51,-2.78,-1.71,0.73,-9.04,-13.07,8.81,-2.04,71.03,0.2,17.86,141.67,2.45
-66.55,-27.4,7.0,202.0,-65.313,-27.044,0.079,904.0,-70.33,-26.4,10.88,-14.85,1.86,156.74,0.2,95.97,911.0,201.0,25.71,25.71,10.51,-2.79,-1.71,0.73,-9.04,-13.08,8.81,-2.05,65.0,0.19,24.59,136.41,2.15
-66.57,-27.28,8.0,202.0,-65.156,-26.875999999999998,0.078,915.0,-70.15,-26.35,10.87,-14.81,1.86,156.89,0.2,95.99,911.0,201.0,25.65,25.65,10.51,-2.78,-1.71,0.73,-9.04,-13.07,8.81,-2.04,71.03,0.2,17.86,141.67,2.45
-67.9,-26.3,14.0,202.0,-65.15100000000001,-25.788,0.057,1049.0,-68.7,-25.28,11.94,-12.55,2.62,177.25,0.2,95.82,911.0,201.0,31.46,31.46,11.65,-2.59,-2.61,0.13,-9.37,-15.24,9.04,-2.46,72.28,0.22,8.7,142.28,2.42
-70.58,-38.25,85.0,283.0,-52.523,-40.597,0.055999999999999994,1018.0,-56.73,-40.5,2.74,-87.15,2.32,-122.44,0.16,94.96,904.0,201.0,21.19,21.19,0.14,-2.74,-1.24,-1.96,4.83,-103.01,-1.09,-4.71,23.13,0.0,2.53,78.99,2.09
-69.17,-30.0,170.0,202.0,-45.132,-31.18,0.048,991.0,-48.28,-30.79,3.74,-11.12,-0.44,-6.78,0.2,98.55,919.0,201.0,6.17,6.17,3.67,-0.72,0.44,-0.05,-4.18,-10.66,4.1,-0.77,16.5,0.03,0.0,64.61,2.0
