conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
4.76,0.1,0.06,88.12,1.87
1.43,0.09,0.0,63.23,1.23
4.38,1.5,0.01,10.07,0.73
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
5.23,4.49,0.07,68.81,2.06
5.16,4.51,0.02,25.74,1.01
6.18,0.47,0.05,83.11,1.44
4.37,4.99,0.02,51.1,1.05
-4.72,0.67,0.0,30.84,1.66
4.37,0.09,0.01,7.81,0.7
4.38,4.38,0.02,43.73,1.11
5.67,8.9,0.07,41.87,2.22
5.91,11.41,0.09,37.06,2.21
4.76,0.1,0.06,88.12,1.87
4.91,1.43,0.06,81.86,2.0
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
5.39,6.03,0.07,66.3,2.09
5.01,2.39,0.07,81.86,2.0
1.43,0.09,0.0,63.23,1.23
1.51,0.47,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
4.97,4.24,0.02,25.74,0.9
1.43,0.09,0.0,63.23,1.23
6.18,0.47,0.05,83.11,1.44
5.71,2.37,0.04,77.0,1.38
7.43,3.0,0.08,99.97,1.66
7.03,0.09,0.06,90.98,1.65
7.43,3.0,0.08,99.97,1.66
7.14,0.85,0.06,100.17,1.66
4.37,4.62,0.02,51.1,0.62
4.36,2.05,0.02,26.44,1.6
4.36,2.25,0.02,26.44,1.6
-4.76,0.1,0.0,30.84,1.64
4.35,1.06,0.02,33.11,1.6
4.37,0.09,0.01,7.81,0.7
4.38,3.13,0.02,23.94,1.11
4.38,1.15,0.01,7.81,0.73
4.38,4.38,0.02,43.73,1.11
4.38,3.84,0.02,43.73,1.11
4.38,6.03,0.02,45.62,1.09
4.38,6.03,0.02,45.62,1.09
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
5.78,10.01,0.09,41.87,2.21
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.83,0.67,0.06,81.86,1.93
4.81,0.48,0.06,81.86,1.93
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
4.76,0.1,0.06,88.12,1.87
5.51,7.25,0.07,66.3,2.14
5.31,5.26,0.07,68.81,2.06
5.35,5.64,0.07,68.81,2.06
5.03,2.58,0.07,81.86,2.0
4.89,1.24,0.06,81.86,1.93
5.13,3.54,0.07,75.8,2.04
5.19,4.11,0.07,68.81,2.04
5.09,3.16,0.07,75.8,2.04
5.27,4.88,0.07,68.81,2.06
4.81,0.48,0.06,81.86,1.93
5.29,5.07,0.07,68.81,2.06
5.05,2.77,0.07,75.8,2.04
5.15,3.73,0.07,75.8,2.04
4.93,1.63,0.06,81.86,2.0
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
5.48,3.29,0.02,52.25,1.33
4.88,3.88,0.01,25.74,0.9
2.89,2.97,0.01,11.18,0.72
4.93,4.06,0.01,25.74,0.9
1.43,0.09,0.0,63.23,1.23
1.51,0.47,0.0,63.23,1.23
2.14,1.81,0.01,63.23,0.52
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
5.11,4.69,0.02,25.74,0.9
4.83,3.71,0.01,25.74,0.9
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
5.71,2.37,0.04,77.0,1.38
5.48,3.29,0.02,52.25,1.33
5.97,1.33,0.04,77.0,1.39
6.18,0.47,0.05,83.11,1.44
6.01,1.17,0.04,77.0,1.39
6.01,1.17,0.04,77.0,1.39
6.05,1.0,0.04,77.0,1.39
5.43,3.46,0.02,52.25,1.33
5.71,2.37,0.04,77.0,1.38
5.52,3.1,0.03,52.25,1.33
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
1.43,0.09,0.0,63.23,1.23
6.28,0.09,0.05,83.11,1.44
6.28,0.09,0.05,83.11,1.44
6.28,0.09,0.05,83.11,1.44
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
7.29,2.01,0.08,100.17,1.65
7.14,0.85,0.06,100.17,1.66
7.55,3.98,0.08,99.97,1.66
7.43,3.0,0.08,99.97,1.66
7.29,2.01,0.08,100.17,1.65
7.03,0.09,0.06,90.98,1.65
7.03,0.09,0.06,90.98,1.65
4.37,5.16,0.02,51.1,1.05
4.37,4.62,0.02,51.1,0.62
4.37,4.8,0.02,51.1,0.62
4.36,3.35,0.01,23.94,0.73
4.37,3.53,0.01,23.94,0.73
4.36,3.35,0.01,23.94,0.73
4.35,1.25,0.02,33.11,1.6
4.35,1.25,0.02,33.11,1.6
4.36,2.05,0.02,26.44,1.6
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
4.35,0.86,0.02,30.84,1.66
4.36,2.25,0.02,26.44,1.6
4.35,1.25,0.02,33.11,1.6
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,0.97,0.01,7.81,0.73
4.38,1.32,0.01,10.07,0.73
4.38,0.27,0.01,7.81,0.7
4.37,0.09,0.01,7.81,0.7
4.38,2.36,0.02,10.07,0.94
4.38,1.5,0.01,10.07,0.73
4.38,2.01,0.02,10.07,0.94
4.38,0.62,0.01,7.81,0.73
4.37,0.09,0.01,7.81,0.7
4.38,1.84,0.02,10.07,0.94
4.38,3.66,0.02,23.94,1.11
4.38,2.55,0.02,23.94,0.94
4.38,4.38,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,4.38,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,4.02,0.02,43.73,1.11
4.38,5.27,0.02,45.62,1.09
4.37,5.51,0.02,45.4,1.05
4.37,5.34,0.02,51.1,1.05
4.38,5.86,0.02,45.4,1.05
4.38,5.68,0.02,45.4,1.05
4.38,5.44,0.02,45.62,1.09
4.38,5.27,0.02,45.62,1.09
4.38,6.03,0.02,45.62,1.09
4.38,5.44,0.02,45.62,1.09
4.38,3.31,0.02,23.94,1.11
4.38,3.84,0.02,43.73,1.11
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.76,0.1,0.0,30.84,1.64
-4.75,0.29,0.0,30.84,1.66
4.74,0.1,0.06,89.12,1.89
-0.89,0.09,0.0,55.46,1.22
4.39,1.67,0.01,11.58,1.05
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
5.21,4.49,0.07,62.92,2.1
5.02,2.91,0.03,43.79,1.34
5.74,0.08,0.03,75.48,1.44
4.38,6.09,0.02,53.1,1.15
4.36,1.7,0.01,77.31,1.61
4.39,0.09,0.01,4.13,0.72
4.39,4.38,0.02,41.55,1.23
5.65,8.9,0.07,39.78,2.22
5.89,11.41,0.09,42.53,2.21
4.74,0.1,0.06,89.12,1.89
4.89,1.43,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
5.37,6.03,0.07,62.92,2.12
4.99,2.39,0.07,76.63,2.02
-0.89,0.09,0.0,55.46,1.22
-0.87,0.47,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
4.83,3.62,0.02,19.75,0.89
-0.89,0.09,0.0,55.46,1.22
5.74,0.08,0.03,75.48,1.44
5.57,0.77,0.04,75.48,1.39
7.29,3.27,0.08,96.2,1.66
6.86,0.1,0.06,88.16,1.65
7.29,3.27,0.08,96.2,1.66
6.99,1.09,0.06,95.64,1.66
4.38,5.73,0.02,48.01,1.15
4.37,3.16,0.02,23.79,0.82
4.37,3.16,0.02,23.79,0.82
-4.76,0.78,0.0,98.8,1.65
4.36,2.02,0.01,29.08,1.61
4.39,0.09,0.01,4.13,0.72
4.39,3.13,0.02,22.52,1.12
4.39,1.15,0.01,4.13,0.81
4.39,4.38,0.02,41.55,1.23
4.39,3.84,0.03,41.55,1.26
4.39,6.14,0.03,53.1,1.22
4.39,6.14,0.03,53.1,1.22
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
5.76,10.01,0.09,41.26,2.21
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.81,0.67,0.06,89.12,1.94
4.78,0.48,0.06,89.12,1.94
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
4.74,0.1,0.06,89.12,1.89
5.49,7.25,0.07,62.19,2.21
5.29,5.26,0.07,62.92,2.12
5.33,5.64,0.07,62.92,2.12
5.01,2.58,0.07,76.63,2.02
4.87,1.24,0.06,89.12,1.94
5.09,3.35,0.07,71.08,2.06
5.17,4.11,0.07,62.92,2.06
5.07,3.16,0.07,71.08,2.06
5.25,4.88,0.07,62.92,2.12
4.78,0.48,0.06,89.12,1.94
5.25,4.88,0.07,62.92,2.12
5.03,2.77,0.07,76.63,2.02
5.15,3.92,0.07,71.08,2.06
4.93,1.82,0.06,76.63,2.02
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
5.33,1.69,0.04,43.79,1.34
4.74,3.88,0.01,22.68,0.89
0.81,2.85,0.0,22.68,0.95
4.78,3.8,0.01,22.68,0.89
-0.89,0.09,0.0,55.46,1.22
-0.87,0.47,0.0,55.46,1.22
-0.82,1.81,0.0,55.46,0.95
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
4.97,3.09,0.03,43.79,1.34
4.7,3.74,0.01,22.68,0.89
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
5.57,0.77,0.04,75.48,1.39
5.33,1.69,0.04,43.79,1.34
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.74,0.08,0.03,75.48,1.44
5.29,1.87,0.03,43.79,1.34
5.57,0.77,0.04,75.48,1.39
5.38,1.51,0.04,57.78,1.34
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
-0.89,0.09,0.0,55.46,1.22
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
7.15,2.28,0.08,95.64,1.65
6.99,1.09,0.06,95.64,1.66
7.42,4.25,0.08,96.2,1.66
7.29,3.27,0.08,96.2,1.66
7.15,2.28,0.08,95.64,1.65
6.86,0.1,0.06,88.16,1.65
6.86,0.1,0.06,88.16,1.65
4.39,6.27,0.02,53.1,1.15
4.38,5.73,0.02,48.01,1.15
4.38,5.91,0.02,53.1,1.15
4.38,4.46,0.01,24.27,0.74
4.38,4.63,0.01,24.27,0.74
4.38,4.46,0.01,24.27,0.74
4.36,2.36,0.02,29.08,0.82
4.36,2.36,0.02,29.08,0.82
4.37,3.16,0.02,23.79,0.82
-4.75,0.97,0.0,77.31,1.61
-4.73,1.15,0.0,77.31,1.61
4.36,1.86,0.01,29.08,1.61
4.37,3.16,0.02,23.79,0.82
4.36,2.36,0.02,29.08,0.82
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,0.97,0.01,4.13,0.81
4.39,1.32,0.01,4.13,0.81
4.39,0.09,0.01,4.13,0.72
4.39,0.09,0.01,4.13,0.72
4.39,2.18,0.02,11.58,0.96
4.39,1.32,0.01,4.13,0.81
4.39,2.01,0.02,11.58,0.96
4.39,0.45,0.01,4.13,0.92
4.39,0.09,0.01,4.13,0.72
4.39,1.84,0.02,11.58,1.05
4.39,3.66,0.03,22.52,1.26
4.39,2.55,0.03,11.58,1.12
4.39,4.38,0.02,41.55,1.23
4.39,3.84,0.03,41.55,1.26
4.39,4.38,0.02,41.55,1.23
4.39,4.02,0.02,41.55,1.26
4.39,4.02,0.02,41.55,1.26
4.39,5.27,0.02,41.55,1.23
4.39,6.62,0.02,53.1,1.15
4.39,6.45,0.02,53.1,1.15
4.39,6.32,0.02,53.1,1.22
4.39,6.49,0.02,53.1,1.15
4.39,5.44,0.02,42.75,1.22
4.39,5.27,0.02,41.55,1.23
4.39,6.14,0.03,53.1,1.22
4.39,5.44,0.02,42.75,1.22
4.39,3.31,0.02,22.52,1.13
4.39,3.84,0.03,41.55,1.26
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
-4.76,0.78,0.0,98.8,1.65
-4.71,1.52,0.0,77.31,1.61
4.72,0.1,0.06,78.85,1.91
0.87,0.09,0.0,44.78,1.23
4.4,1.5,0.02,19.47,1.07
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
5.19,4.49,0.07,55.79,2.12
4.87,0.89,0.03,58.78,1.34
6.68,0.09,0.06,79.58,1.56
4.4,6.55,0.02,50.18,1.15
4.37,2.27,0.01,25.41,1.63
4.4,0.09,0.01,15.62,0.72
4.4,4.38,0.02,39.85,1.28
5.63,8.9,0.07,46.44,2.21
5.87,11.41,0.09,43.69,2.21
4.72,0.1,0.06,78.85,1.91
4.87,1.43,0.06,71.23,2.0
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
5.34,6.03,0.08,50.18,2.17
4.97,2.39,0.07,65.36,2.05
0.87,0.09,0.0,44.78,1.23
0.87,0.09,0.0,44.78,1.23
0.87,0.47,0.0,44.78,1.21
0.87,0.09,0.0,44.78,1.23
4.69,1.57,0.03,58.78,1.34
0.87,0.09,0.0,44.78,1.23
6.68,0.09,0.06,79.58,1.56
5.09,0.08,0.03,58.78,1.41
7.12,3.33,0.07,92.61,1.66
6.68,0.09,0.06,79.58,1.56
7.12,3.33,0.07,92.61,1.66
6.86,1.39,0.07,92.28,1.65
4.4,6.18,0.02,50.18,1.15
4.38,3.62,0.02,20.73,1.0
4.38,3.81,0.02,20.73,1.0
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
4.4,0.09,0.01,15.62,0.72
4.4,3.31,0.02,21.92,1.15
4.4,1.15,0.01,19.47,0.87
4.4,4.38,0.02,39.85,1.28
4.4,3.84,0.02,21.92,1.28
4.4,6.14,0.03,50.18,1.34
4.4,6.14,0.03,50.18,1.34
-4.74,0.1,0.0,114.03,1.61
-4.74,0.1,0.0,114.03,1.61
5.74,10.01,0.09,42.15,2.21
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.78,0.67,0.06,73.97,1.96
4.76,0.48,0.06,76.01,1.96
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
4.72,0.1,0.06,78.85,1.91
