conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
10.88,25.77,0.18,28.71,2.15,True
3.83,4.98,0.04,0.0,2.12,True
11.88,22.38,0.21,16.71,2.24,True
10.87,25.6,0.2,20.21,2.45,True
10.87,25.65,0.2,17.86,2.45,True
10.88,25.71,0.19,24.59,2.15,True
10.87,25.65,0.2,17.86,2.45,True
11.94,31.46,0.22,8.7,2.42,True
2.74,21.19,0.0,2.53,2.09,True
3.74,6.17,0.03,0.0,2.0,True
11.85,26.0,0.2,17.68,2.24,True
11.94,33.97,0.23,6.53,2.57,True
10.85,21.65,0.18,23.61,2.12,True
10.88,25.77,0.18,28.71,2.15,True
12.81,31.9,0.23,7.71,2.57,True
4.55,5.5,0.07,66.12,2.61,True
9.02,23.92,0.12,38.48,2.2,True
12.75,32.87,0.23,7.71,2.56,True
11.84,24.85,0.2,19.76,2.22,True
11.84,24.85,0.2,19.76,2.22,True
1.77,22.93,0.02,0.0,1.89,True
10.7,19.77,0.17,25.6,2.13,True
3.9,3.99,0.04,-0.03,2.15,True
12.17,30.86,0.23,19.75,2.25,True
12.43,30.39,0.25,22.89,2.66,True
3.9,3.99,0.04,-0.03,2.15,True
9.85,30.89,0.19,7.69,2.51,True
11.97,31.44,0.21,7.73,2.56,True
11.92,33.37,0.2,6.53,2.57,True
12.61,33.37,0.21,8.69,2.57,True
12.01,31.44,0.21,6.27,2.56,True
12.44,31.08,0.22,10.04,2.58,True
12.6,33.2,0.21,8.69,2.57,True
12.57,32.84,0.21,9.43,2.57,True
9.91,27.54,0.13,23.26,2.3,True
11.91,23.48,0.14,37.38,2.23,True
4.67,13.41,0.04,48.88,1.95,True
13.85,26.0,0.18,13.56,2.42,True
4.71,34.61,0.09,25.25,2.55,True
11.93,29.92,0.19,10.77,2.36,True
5.67,31.98,0.09,28.94,2.51,True
9.49,35.58,0.19,11.63,2.6,True
10.05,31.94,0.19,15.64,2.6,True
12.74,32.9,0.24,18.73,2.61,True
10.02,33.55,0.19,12.22,2.58,True
10.17,32.84,0.17,12.74,2.59,True
10.7,19.33,0.15,54.34,2.13,True
11.88,30.89,0.2,9.16,2.59,True
10.02,33.55,0.19,12.22,2.58,True
8.27,34.27,0.15,20.22,2.58,True
12.34,32.38,0.22,19.75,2.25,True
10.67,18.75,0.13,54.34,2.13,True
8.8,34.44,0.15,18.32,2.57,True
8.76,34.8,0.16,20.22,2.56,True
4.42,36.75,0.08,27.41,2.48,True
9.51,35.58,0.19,13.48,2.6,True
9.49,35.58,0.19,11.63,2.6,True
8.27,33.29,0.17,18.74,2.7,True
11.79,30.68,0.2,7.69,2.56,True
12.88,31.98,0.23,21.46,2.61,True
11.93,30.85,0.2,9.3,2.43,True
0.78,34.8,0.01,25.37,2.47,True
10.7,19.33,0.15,54.34,2.13,True
10.85,21.65,0.18,23.61,2.12,True
9.94,33.73,0.18,13.89,2.6,True
5.22,34.08,0.08,34.81,2.43,True
11.93,31.04,0.21,9.3,2.43,True
9.92,33.9,0.18,12.22,2.59,True
8.78,34.8,0.17,21.54,2.58,True
8.85,34.76,0.18,17.98,2.65,True
10.39,26.16,0.13,24.85,2.42,True
6.91,19.95,0.03,55.06,1.96,True
10.15,33.02,0.17,12.22,2.58,True
10.45,31.8,0.17,14.14,2.57,True
9.16,30.23,0.14,5.82,2.56,True
4.05,34.9,0.07,24.51,2.48,True
10.7,19.33,0.15,54.34,2.13,True
5.19,34.26,0.08,34.81,2.43,True
1.01,34.26,0.02,25.03,2.46,True
9.96,33.9,0.18,11.82,2.58,True
18.62,11.84,0.1,1.48,1.81,True
10.13,33.02,0.17,12.74,2.59,True
11.83,19.82,0.2,22.27,2.13,True
9.52,35.58,0.19,15.89,2.6,True
4.54,0.1,0.02,5.28,2.46,True
3.56,0.54,0.05,45.1,2.29,True
4.1,0.85,0.05,39.72,2.34,True
2.26,3.45,0.05,19.54,2.45,True
11.35,9.15,0.11,22.01,2.11,True
11.32,8.62,0.12,22.01,2.21,True
11.01,10.56,0.11,41.04,2.04,True
1.51,2.5,0.01,308.79,2.57,True
5.76,1.14,0.07,14.6,2.58,True
10.45,11.12,0.13,69.32,1.95,True
10.2,10.73,0.16,27.18,2.07,True
10.11,6.47,0.07,86.72,1.96,True
11.12,12.11,0.15,34.93,2.12,True
5.72,1.73,0.07,12.25,2.57,True
5.81,0.35,0.07,14.6,2.59,True
11.09,11.71,0.15,34.49,2.12,True
5.8,0.55,0.07,14.6,2.59,True
10.04,9.26,0.08,27.45,2.1,True
5.76,1.14,0.07,14.6,2.58,True
5.8,0.55,0.07,14.6,2.59,True
10.75,18.33,0.14,63.89,2.16,True
8.23,11.3,0.12,11.59,2.2,True
7.86,15.13,0.08,11.59,2.17,True
10.78,17.74,0.15,44.87,2.13,True
8.12,12.44,0.11,11.59,2.18,True
11.13,27.81,0.13,17.21,2.55,True
10.81,14.84,0.18,31.36,2.27,True
11.37,15.81,0.16,68.65,2.12,True
11.62,20.87,0.18,24.68,2.32,True
11.15,27.62,0.06,17.21,2.55,True
6.01,29.14,0.07,30.62,2.5,True
8.14,12.25,0.11,11.59,2.18,True
11.18,27.81,0.14,12.99,2.56,True
13.29,27.81,0.23,20.04,2.58,True
11.15,27.62,0.06,17.21,2.55,True
5.9,29.9,0.07,32.6,2.5,True
5.9,29.9,0.07,32.6,2.5,True
10.97,16.19,0.19,37.1,2.59,True
8.17,11.87,0.12,11.59,2.2,True
11.34,15.23,0.17,56.94,2.12,True
10.71,16.19,0.15,75.08,2.15,True
11.16,27.42,0.06,17.21,2.54,True
13.38,26.26,0.23,20.56,2.57,True
8.26,10.91,0.12,11.59,2.2,True
11.21,17.94,0.19,24.14,2.31,True
11.75,16.39,0.22,25.47,2.57,True
10.95,16.0,0.19,41.3,2.29,True
10.0,28.95,0.17,5.06,2.5,True
11.28,18.53,0.19,24.14,2.31,True
8.15,12.06,0.11,11.59,2.18,True
