,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,0.0020591664092525675,SVC_POLY
1,7.63,-77.17,-77.17,7.63,0.0,0.09832427304771663,SVC_POLY
2,-7.63,-77.17,-77.17,-7.63,0.0,0.05380337397355212,SVC_POLY
3,-22.56,-66.04,-66.04,-22.56,0.0,9.79964355422474e-07,SVC_POLY
4,-15.31,-71.8,-71.8,-15.31,0.0,2.1648085220534348e-05,SVC_POLY
5,-37.36,-72.65,-72.65,-37.36,0.0,0.004254861801316843,SVC_POLY
6,-52.43,-69.55,-69.55,-52.43,0.0,5.311920330876698e-06,SVC_POLY
7,0.0,-78.11,-78.11,0.0,0.0,0.00027000000695641613,SVC_POLY
8,3.82,-75.65,-75.65,3.82,0.0,8.580032317730579e-07,SVC_POLY
9,7.62,-72.99,-72.99,7.62,0.0,0.12795164608576495,SVC_POLY
10,-3.82,-79.63,-79.63,-3.82,0.0,0.0021736595161729916,SVC_POLY
11,-26.29,-67.52,-67.52,-26.29,0.0,4.568386615764494e-05,SVC_POLY
12,-18.96,-68.98,-68.98,-18.96,0.0,1.0000000994736041e-07,SVC_POLY
13,-11.48,-74.52,-74.52,-11.48,0.0,0.0014737760558506583,SVC_POLY
14,-33.69,-70.79,-70.79,-33.69,0.0,0.015007315313947367,SVC_POLY
15,-44.75,-71.2,-71.2,-44.75,0.0,1.0000000994736041e-07,SVC_POLY
16,-41.04,-69.24,-69.24,-41.04,0.0,3.464556444615225e-05,SVC_POLY
17,-48.57,-73.54,-73.54,-48.57,0.0,4.2029588632812746e-07,SVC_POLY
18,0.0,-76.12,-76.12,0.0,0.0,1.0000000994736041e-07,SVC_POLY
19,1.91,-74.89,-74.89,1.91,0.0,1.6019171131251913e-06,SVC_POLY
20,1.91,-76.88,-76.88,1.91,0.0,1.9222202705332727e-05,SVC_POLY
21,5.72,-76.41,-76.41,5.72,0.0,0.11891666445276433,SVC_POLY
22,5.72,-74.32,-74.32,5.72,0.0,0.11891666445276433,SVC_POLY
23,7.63,-75.08,-75.08,7.63,0.0,0.1131266643942963,SVC_POLY
24,3.8,-73.57,-73.57,3.8,0.0,1.4357855323348763e-07,SVC_POLY
25,11.47,-72.4,-72.4,11.47,0.0,0.21180958324724372,SVC_POLY
26,9.55,-73.75,-73.75,9.55,0.0,0.1966190280566003,SVC_POLY
27,-1.91,-76.88,-76.88,-1.91,0.0,0.00047110493347361304,SVC_POLY
28,-1.91,-78.87,-78.87,-1.91,0.0,0.9857816242463251,SVC_POLY
29,-5.73,-78.4,-78.4,-5.73,0.0,0.004075389640314154,SVC_POLY
30,-3.82,-77.64,-77.64,-3.82,0.0,0.0021736595161729916,SVC_POLY
31,-9.54,-77.94,-77.94,-9.54,0.0,0.011631297274373837,SVC_POLY
32,-7.65,-79.19,-79.19,-7.65,0.0,0.006386834984669525,SVC_POLY
33,-5.74,-80.41,-80.41,-5.74,0.0,0.0032366381000899806,SVC_POLY
34,-15.32,-73.93,-73.93,-15.32,0.0,6.412747784533214e-05,SVC_POLY
35,-28.2,-70.64,-70.64,-28.2,0.0,0.0004250428889298541,SVC_POLY
36,-28.15,-68.29,-68.29,-28.15,0.0,0.00034032825703548403,SVC_POLY
37,-26.36,-69.83,-69.83,-26.36,0.0,5.708365790409293e-05,SVC_POLY
38,-24.42,-66.77,-66.77,-24.42,0.0,6.6765356315760685e-06,SVC_POLY
39,-22.64,-68.28,-68.28,-22.64,0.0,9.79964355422474e-07,SVC_POLY
40,-24.5,-69.04,-69.04,-24.5,0.0,8.755179140344379e-06,SVC_POLY
41,-18.9,-66.81,-66.81,-18.9,0.0,1.0000000994736041e-07,SVC_POLY
42,-20.76,-67.53,-67.53,-20.76,0.0,2.0376107400972544e-07,SVC_POLY
43,-15.28,-69.67,-69.67,-15.28,0.0,3.680056599692394e-06,SVC_POLY
44,-17.14,-70.4,-70.4,-17.14,0.0,1.4587565917311352e-06,SVC_POLY
45,-17.09,-68.26,-68.26,-17.09,0.0,1.0957481323915775e-07,SVC_POLY
46,-20.83,-69.74,-69.74,-20.83,0.0,1.0000000994736041e-07,SVC_POLY
47,-11.47,-76.62,-76.62,-11.47,0.0,0.004344171831255395,SVC_POLY
48,-9.56,-75.85,-75.85,-9.56,0.0,0.009417168241019852,SVC_POLY
49,-13.4,-73.17,-73.17,-13.4,0.0,0.00016760829334593324,SVC_POLY
50,-13.4,-75.28,-75.28,-13.4,0.0,0.2328366049544845,SVC_POLY
51,-13.38,-71.04,-71.04,-13.38,0.0,2.1648085220534348e-05,SVC_POLY
52,-35.53,-71.7,-71.7,-35.53,0.0,0.015511221816422359,SVC_POLY
53,-31.85,-69.93,-69.93,-31.85,0.0,0.0024057875532958795,SVC_POLY
54,-29.55,-66.55,-66.55,-29.55,0.0,0.0007077529982387964,SVC_POLY
55,-33.64,-68.3,-68.3,-33.64,0.0,0.0038490185868217696,SVC_POLY
56,-31.78,-67.49,-67.49,-31.78,0.0,0.0021827645289398756,SVC_POLY
57,-37.35,-70.04,-70.04,-37.35,0.0,0.006798527795533836,SVC_POLY
58,-35.5,-69.16,-69.16,-35.5,0.0,0.014851115809839024,SVC_POLY
59,-41.05,-71.96,-71.96,-41.05,0.0,7.097726109273254e-06,SVC_POLY
60,-39.21,-70.99,-70.99,-39.21,0.0,0.010986659236424948,SVC_POLY
61,-44.71,-74.09,-74.09,-44.71,0.0,1.0000000994736041e-07,SVC_POLY
62,-42.9,-70.19,-70.19,-42.9,0.0,1.4696193725746355e-06,SVC_POLY
63,-46.59,-75.32,-75.32,-46.59,0.0,1.0000000994736041e-07,SVC_POLY
64,-52.36,-72.82,-72.82,-52.36,0.0,5.311920330876698e-06,SVC_POLY
65,-50.52,-71.63,-71.63,-50.52,0.0,7.037856135707785e-06,SVC_POLY
66,-50.39,-74.77,-74.77,-50.39,0.0,4.252292177811026e-06,SVC_POLY
67,-46.67,-72.33,-72.33,-46.67,0.0,1.0000000994736041e-07,SVC_POLY
68,-48.6,-70.44,-70.44,-48.6,0.0,2.3461685814143616e-07,SVC_POLY
69,-46.66,-69.33,-69.33,-46.66,0.0,1.0000000994736041e-07,SVC_POLY
70,0.0,-79.1,-79.1,0.0,0.0,0.00014490218553904344,SVC_POLY
71,0.95,-78.49,-78.49,0.95,0.0,1.794568040949188e-05,SVC_POLY
72,0.95,-79.48,-79.48,0.95,0.0,0.0010547009721884565,SVC_POLY
73,0.0,-77.11,-77.11,0.0,0.0,1.953628193758049e-05,SVC_POLY
74,0.95,-76.5,-76.5,0.95,0.0,1.9222202705332727e-05,SVC_POLY
75,0.95,-77.49,-77.49,0.95,0.0,1.0000000994736041e-07,SVC_POLY
76,0.95,-75.51,-75.51,0.95,0.0,7.021499274261717e-06,SVC_POLY
77,2.86,-75.27,-75.27,2.86,0.0,7.184545552139742e-07,SVC_POLY
78,2.86,-76.26,-76.26,2.86,0.0,1.6019171131251913e-06,SVC_POLY
79,1.91,-75.89,-75.89,1.91,0.0,1.6019171131251913e-06,SVC_POLY
80,4.77,-76.03,-76.03,4.77,0.0,1.4357855323348763e-07,SVC_POLY
81,4.77,-77.02,-77.02,4.77,0.0,1.4357855323348763e-07,SVC_POLY
82,3.82,-76.64,-76.64,3.82,0.0,1.0000000994736041e-07,SVC_POLY
83,6.68,-76.79,-76.79,6.68,0.0,0.12247279754092391,SVC_POLY
84,1.91,-77.87,-77.87,1.91,0.0,1.0000000994736041e-07,SVC_POLY
85,2.86,-77.26,-77.26,2.86,0.0,1.6019171131251913e-06,SVC_POLY
86,8.6,-76.51,-76.51,8.6,0.0,0.11863573160569023,SVC_POLY
87,10.52,-75.19,-75.19,10.52,0.0,0.1966190280566003,SVC_POLY
88,6.68,-75.74,-75.74,6.68,0.0,0.12395541324430574,SVC_POLY
89,7.63,-76.12,-76.12,7.63,0.0,0.27720984673347515,SVC_POLY
90,4.77,-74.99,-74.99,4.77,0.0,1.4357855323348763e-07,SVC_POLY
91,5.72,-75.37,-75.37,5.72,0.0,0.11891666445276433,SVC_POLY
92,6.67,-73.66,-73.66,6.67,0.0,0.12017228635479424,SVC_POLY
93,7.63,-74.04,-74.04,7.63,0.0,0.11302956130816474,SVC_POLY
94,6.67,-74.7,-74.7,6.67,0.0,0.12395541324430574,SVC_POLY
95,2.86,-74.23,-74.23,2.86,0.0,8.580032317730579e-07,SVC_POLY
96,3.81,-74.61,-74.61,3.81,0.0,1.4357855323348763e-07,SVC_POLY
97,4.76,-73.95,-73.95,4.76,0.0,0.11034106051619652,SVC_POLY
98,5.71,-73.28,-73.28,5.71,0.0,0.11891666445276433,SVC_POLY
99,9.56,-74.8,-74.8,9.56,0.0,0.15692251501791812,SVC_POLY
100,10.52,-74.13,-74.13,10.52,0.0,0.17714749381402345,SVC_POLY
101,8.59,-75.47,-75.47,8.59,0.0,0.11302956130816474,SVC_POLY
102,8.59,-73.37,-73.37,8.59,0.0,0.16917864754734413,SVC_POLY
103,8.59,-74.42,-74.42,8.59,0.0,0.12795164608576495,SVC_POLY
104,8.58,-72.32,-72.32,8.58,0.0,0.16148563415514378,SVC_POLY
105,10.49,-70.97,-70.97,10.49,0.0,0.21180958324724372,SVC_POLY
106,10.51,-73.08,-73.08,10.51,0.0,0.21180958324724372,SVC_POLY
107,9.54,-72.7,-72.7,9.54,0.0,0.19310823833041973,SVC_POLY
108,10.5,-72.02,-72.02,10.5,0.0,0.21180958324724372,SVC_POLY
109,-0.95,-77.49,-77.49,-0.95,0.0,2.9350091414937704e-05,SVC_POLY
110,-0.95,-76.5,-76.5,-0.95,0.0,0.00027000000695641613,SVC_POLY
111,-0.95,-79.48,-79.48,-0.95,0.0,0.0005748936410383032,SVC_POLY
112,-0.95,-78.49,-78.49,-0.95,0.0,0.0003197498937776528,SVC_POLY
113,-0.95,-80.47,-80.47,-0.95,0.0,0.8826278352110309,SVC_POLY
114,-2.86,-79.25,-79.25,-2.86,0.0,0.16068653232405652,SVC_POLY
115,-1.91,-79.86,-79.86,-1.91,0.0,0.007909151795216798,SVC_POLY
116,-4.77,-79.02,-79.02,-4.77,0.0,0.0018365768056812332,SVC_POLY
117,-4.77,-78.02,-78.02,-4.77,0.0,0.0018365768056812332,SVC_POLY
118,-3.82,-78.63,-78.63,-3.82,0.0,0.0021736595161729916,SVC_POLY
119,-6.68,-77.79,-77.79,-6.68,0.0,0.0058372750445824005,SVC_POLY
120,-6.68,-76.79,-76.79,-6.68,0.0,0.005838559160040539,SVC_POLY
121,-5.73,-77.4,-77.4,-5.73,0.0,0.004649060943860535,SVC_POLY
122,-4.77,-77.02,-77.02,-4.77,0.0,0.00148796182605175,SVC_POLY
123,-1.91,-77.87,-77.87,-1.91,0.0,0.9857816242463251,SVC_POLY
124,-2.87,-78.25,-78.25,-2.87,0.0,0.1463643174563009,SVC_POLY
125,-2.86,-77.26,-77.26,-2.86,0.0,0.42187095453957757,SVC_POLY
126,-8.58,-77.55,-77.55,-8.58,0.0,0.026153490054478055,SVC_POLY
127,-7.64,-78.18,-78.18,-7.64,0.0,0.006092362101711613,SVC_POLY
128,-8.59,-78.56,-78.56,-8.59,0.0,0.028968701961575475,SVC_POLY
129,-3.82,-80.63,-80.63,-3.82,0.0,0.001195227023575878,SVC_POLY
130,-6.69,-79.8,-79.8,-6.69,0.0,0.004649060943860535,SVC_POLY
131,-6.69,-78.79,-78.79,-6.69,0.0,0.005213000511208873,SVC_POLY
132,-4.78,-80.02,-80.02,-4.78,0.0,0.0017245555017874597,SVC_POLY
133,-5.73,-79.41,-79.41,-5.73,0.0,0.009275105799352052,SVC_POLY
134,-4.78,-81.03,-81.03,-4.78,0.0,0.0017245555017874597,SVC_POLY
135,-16.24,-72.19,-72.19,-16.24,0.0,1.1619021669587118e-05,SVC_POLY
136,-15.32,-72.86,-72.86,-15.32,0.0,8.673406950463549e-05,SVC_POLY
137,-16.25,-73.25,-73.25,-16.25,0.0,2.1648085220534348e-05,SVC_POLY
138,-15.32,-74.99,-74.99,-15.32,0.0,0.00013559837860889563,SVC_POLY
139,-27.28,-70.23,-70.23,-27.28,0.0,0.00019004224323607193,SVC_POLY
140,-29.1,-69.88,-69.88,-29.1,0.0,0.0008394016693122393,SVC_POLY
141,-29.07,-68.69,-68.69,-29.07,0.0,0.0007077529982387964,SVC_POLY
142,-28.18,-69.47,-69.47,-28.18,0.0,0.00035425307578501223,SVC_POLY
143,-27.22,-67.9,-67.9,-27.22,0.0,9.631092553799042e-05,SVC_POLY
144,-26.33,-68.67,-68.67,-26.33,0.0,5.708365790409293e-05,SVC_POLY
145,-27.25,-69.07,-69.07,-27.25,0.0,9.631092553799042e-05,SVC_POLY
146,-25.36,-67.14,-67.14,-25.36,0.0,2.575484095220614e-05,SVC_POLY
147,-24.47,-67.9,-67.9,-24.47,0.0,8.755179140344379e-06,SVC_POLY
148,-25.4,-68.28,-68.28,-25.4,0.0,3.3240449973616365e-05,SVC_POLY
149,-23.49,-66.4,-66.4,-23.49,0.0,3.395762697670903e-06,SVC_POLY
150,-22.6,-67.16,-67.16,-22.6,0.0,9.79964355422474e-07,SVC_POLY
151,-23.54,-67.53,-67.53,-23.54,0.0,1.5090313096641442e-06,SVC_POLY
152,-22.68,-69.4,-69.4,-22.68,0.0,1.449827825125665e-06,SVC_POLY
153,-23.6,-69.78,-69.78,-23.6,0.0,2.078533407981787e-06,SVC_POLY
154,-23.57,-68.66,-68.66,-23.57,0.0,2.078533407981787e-06,SVC_POLY
155,-25.43,-69.43,-69.43,-25.43,0.0,3.3240449973616365e-05,SVC_POLY
156,-24.53,-70.18,-70.18,-24.53,0.0,1.163716439646524e-05,SVC_POLY
157,-20.73,-66.43,-66.43,-20.73,0.0,2.83648772435322e-07,SVC_POLY
158,-21.66,-66.79,-66.79,-21.66,0.0,3.9091315278291784e-07,SVC_POLY
159,-19.8,-66.07,-66.07,-19.8,0.0,1.0000000994736041e-07,SVC_POLY
160,-18.93,-67.9,-67.9,-18.93,0.0,1.0000000994736041e-07,SVC_POLY
161,-19.86,-68.26,-68.26,-19.86,0.0,1.0000000994736041e-07,SVC_POLY
162,-19.83,-67.17,-67.17,-19.83,0.0,1.0000000994736041e-07,SVC_POLY
163,-15.26,-68.61,-68.61,-15.26,0.0,1.4587565917311352e-06,SVC_POLY
164,-16.19,-68.97,-68.97,-16.19,0.0,1.4587565917311352e-06,SVC_POLY
165,-16.16,-67.9,-67.9,-16.16,0.0,2.2845183856726398e-07,SVC_POLY
166,-15.3,-70.74,-70.74,-15.3,0.0,8.813575136955966e-06,SVC_POLY
167,-16.23,-71.11,-71.11,-16.23,0.0,4.9606989620946805e-06,SVC_POLY
168,-16.21,-70.04,-70.04,-16.21,0.0,1.4604313065461695e-06,SVC_POLY
169,-18.05,-69.7,-69.7,-18.05,0.0,1.0957481323915775e-07,SVC_POLY
170,-18.03,-68.62,-68.62,-18.03,0.0,1.0000000994736041e-07,SVC_POLY
171,-17.12,-69.33,-69.33,-17.12,0.0,2.2845183856726398e-07,SVC_POLY
172,-17.06,-67.18,-67.18,-17.06,0.0,1.0000000994736041e-07,SVC_POLY
173,-18.0,-67.54,-67.54,-18.0,0.0,1.0000000994736041e-07,SVC_POLY
174,-21.74,-69.01,-69.01,-21.74,0.0,3.9091315278291784e-07,SVC_POLY
175,-21.7,-67.9,-67.9,-21.7,0.0,3.9091315278291784e-07,SVC_POLY
176,-19.89,-69.36,-69.36,-19.89,0.0,1.0000000994736041e-07,SVC_POLY
177,-20.8,-68.63,-68.63,-20.8,0.0,1.0573770633566127e-07,SVC_POLY
178,-18.98,-70.08,-70.08,-18.98,0.0,1.0000000994736041e-07,SVC_POLY
179,-17.16,-71.49,-71.49,-17.16,0.0,2.7251742957308846e-06,SVC_POLY
180,-7.63,-76.12,-76.12,-7.63,0.0,0.027604005077085672,SVC_POLY
181,-9.55,-76.9,-76.9,-9.55,0.0,0.009952525706764505,SVC_POLY
182,-8.6,-76.51,-76.51,-8.6,0.0,0.011631297274373837,SVC_POLY
183,-10.5,-77.28,-77.28,-10.5,0.0,0.008622481371550366,SVC_POLY
184,-11.48,-75.57,-75.57,-11.48,0.0,0.0027708512693269526,SVC_POLY
185,-10.52,-75.19,-75.19,-10.52,0.0,0.004344171831255395,SVC_POLY
186,-10.51,-76.23,-76.23,-10.51,0.0,0.0063305413790543,SVC_POLY
187,-14.36,-74.61,-74.61,-14.36,0.0,0.00020745811523001565,SVC_POLY
