,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,0.8446332770512617,SVC_RBF
1,7.63,-77.17,-77.17,7.63,0.0,0.7899164477441986,SVC_RBF
2,-7.63,-77.17,-77.17,-7.63,0.0,0.8427758426456684,SVC_RBF
3,-22.56,-66.04,-66.04,-22.56,0.0,0.8003710298255253,SVC_RBF
4,-15.31,-71.8,-71.8,-15.31,0.0,0.7648248639775783,SVC_RBF
5,-37.36,-72.65,-72.65,-37.36,0.0,0.826101654058737,SVC_RBF
6,-52.43,-69.55,-69.55,-52.43,0.0,0.5404373033337109,SVC_RBF
7,0.0,-78.11,-78.11,0.0,0.0,0.10121042549838948,SVC_RBF
8,3.82,-75.65,-75.65,3.82,0.0,0.12770987400950698,SVC_RBF
9,7.62,-72.99,-72.99,7.62,0.0,0.8593622220142392,SVC_RBF
10,-3.82,-79.63,-79.63,-3.82,0.0,0.8521522849044506,SVC_RBF
11,-26.29,-67.52,-67.52,-26.29,0.0,0.8220234125200447,SVC_RBF
12,-18.96,-68.98,-68.98,-18.96,0.0,0.8351246126705514,SVC_RBF
13,-11.48,-74.52,-74.52,-11.48,0.0,0.8507038672676451,SVC_RBF
14,-33.69,-70.79,-70.79,-33.69,0.0,0.8412653086255981,SVC_RBF
15,-44.75,-71.2,-71.2,-44.75,0.0,0.8583363865872762,SVC_RBF
16,-41.04,-69.24,-69.24,-41.04,0.0,0.7840272638964273,SVC_RBF
17,-48.57,-73.54,-73.54,-48.57,0.0,0.7157105853167485,SVC_RBF
18,0.0,-76.12,-76.12,0.0,0.0,0.6110487881720903,SVC_RBF
19,1.91,-74.89,-74.89,1.91,0.0,0.2529158662264531,SVC_RBF
20,1.91,-76.88,-76.88,1.91,0.0,0.08034160098261786,SVC_RBF
21,5.72,-76.41,-76.41,5.72,0.0,0.795288157512265,SVC_RBF
22,5.72,-74.32,-74.32,5.72,0.0,0.795288157512265,SVC_RBF
23,7.63,-75.08,-75.08,7.63,0.0,0.8586356138129673,SVC_RBF
24,3.8,-73.57,-73.57,3.8,0.0,0.1787625541433,SVC_RBF
25,11.47,-72.4,-72.4,11.47,0.0,0.8630698985843349,SVC_RBF
26,9.55,-73.75,-73.75,9.55,0.0,0.8608608803782073,SVC_RBF
27,-1.91,-76.88,-76.88,-1.91,0.0,0.7294331816918485,SVC_RBF
28,-1.91,-78.87,-78.87,-1.91,0.0,0.8257152095948139,SVC_RBF
29,-5.73,-78.4,-78.4,-5.73,0.0,0.8344101126783894,SVC_RBF
30,-3.82,-77.64,-77.64,-3.82,0.0,0.8521522849044506,SVC_RBF
31,-9.54,-77.94,-77.94,-9.54,0.0,0.8477316359000397,SVC_RBF
32,-7.65,-79.19,-79.19,-7.65,0.0,0.8463299279379499,SVC_RBF
33,-5.74,-80.41,-80.41,-5.74,0.0,0.8281650082682123,SVC_RBF
34,-15.32,-73.93,-73.93,-15.32,0.0,0.8334027673964466,SVC_RBF
35,-28.2,-70.64,-70.64,-28.2,0.0,0.8215721226797512,SVC_RBF
36,-28.15,-68.29,-68.29,-28.15,0.0,0.8148688146274482,SVC_RBF
37,-26.36,-69.83,-69.83,-26.36,0.0,0.8207097910404406,SVC_RBF
38,-24.42,-66.77,-66.77,-24.42,0.0,0.8087502455413923,SVC_RBF
39,-22.64,-68.28,-68.28,-22.64,0.0,0.8003710298255253,SVC_RBF
40,-24.5,-69.04,-69.04,-24.5,0.0,0.8061485435881364,SVC_RBF
41,-18.9,-66.81,-66.81,-18.9,0.0,0.8388139188017301,SVC_RBF
42,-20.76,-67.53,-67.53,-20.76,0.0,0.8167160890367826,SVC_RBF
43,-15.28,-69.67,-69.67,-15.28,0.0,0.7932838106055315,SVC_RBF
44,-17.14,-70.4,-70.4,-17.14,0.0,0.794422983977664,SVC_RBF
45,-17.09,-68.26,-68.26,-17.09,0.0,0.8274855408425864,SVC_RBF
46,-20.83,-69.74,-69.74,-20.83,0.0,0.8269519491754878,SVC_RBF
47,-11.47,-76.62,-76.62,-11.47,0.0,0.8491732736658653,SVC_RBF
48,-9.56,-75.85,-75.85,-9.56,0.0,0.8462199939229564,SVC_RBF
49,-13.4,-73.17,-73.17,-13.4,0.0,0.8365174831485959,SVC_RBF
50,-13.4,-75.28,-75.28,-13.4,0.0,0.863357208875004,SVC_RBF
51,-13.38,-71.04,-71.04,-13.38,0.0,0.7648248639775783,SVC_RBF
