index,lon,lat,age
0,-157.24,57.05,1
1,-158.4,56.52,4
2,-127.85,50.68,5
3,-157.24,57.05,6
4,-127.58,50.33,6
5,-158.41,56.15,7
6,-160.68,55.63,7
7,-127.5,50.38,7
8,-158.41,56.15,7
9,-159.42,55.89,8
10,-159.42,55.89,8
11,-160.68,55.64,8
12,-160.63,55.25,15
13,-122.08,46.36,17
14,-121.64,47.68,18
15,-120.98,48.2,21
16,-121.37,47.5,25
17,-130.48,55.4,27
18,-121.5,48.01,28
19,-109.63,44.02,29
20,-101.95,19,33
21,-102.08,19.08,34
22,-137.08,59.02,34
23,-107.75,27.01,34
24,-125.3,49.76,35
25,-125.25,49.76,35
26,-115.5,32.42,36
27,-125.98,49.26,37
28,-126.81,50.03,38
29,-100.99,26.71,39
30,-109.29,43.87,40
31,-109.67,44.03,40
32,-112.36,47.03,46
33,-110.07,29.9,47
34,-107.4,26.23,47
35,-126.9,54.81,48
36,-131.55,57.06,48
37,-127.27,54.23,48
38,-127.69,53.75,48
39,-127.02,53.86,48
40,-127.18,53.85,48
41,-129.42,55.42,49
42,-125.41,49.68,49
43,-125.96,49.25,49
44,-125.99,49.27,49
45,-107.24,25.01,49
46,-126.31,55.41,49
47,-109.6,32.93,50
48,-127.44,53.8,50
49,-111.32,43.09,50
50,-109.15,28.37,50
51,-126.32,55.19,50
52,-109.5,30.3,51
53,-126.16,54.94,51
54,-110.07,29.9,52
55,-107.35,25.67,52
56,-126,54.85,52
57,-126.2,55.27,52
58,-109.73,30.38,52
59,-126.24,55.29,52
60,-107.72,26.99,52
61,-107.75,27,52
62,-126.9,54.81,53
63,-107.68,27.57,53
64,-126.23,55,53
65,-126.88,56.11,53
66,-109.72,30.38,53
67,-110.03,32.09,53
68,-109.63,30.34,53
69,-109.63,30.34,53
70,-110.32,30.95,54
71,-110.66,29.93,54
72,-119.34,49.39,54
73,-109.6,32.93,55
74,-111.12,31.87,55
75,-109.62,28.53,55
76,-106.1,23.27,55
77,-109.5,30.3,56
78,-108.07,32.79,56
79,-109.34,33.09,56
80,-108.07,32.81,56
81,-108.37,32.63,56
82,-109.7,30.27,56
83,-141.32,63.52,56
84,-111.02,31.97,56
85,-110.07,29.9,57
86,-107.35,25.67,57
87,-110.76,31.83,57
88,-110.76,31.83,57
89,-122.6,51.13,57
90,-109.66,28.39,57
91,-109.75,30.48,57
92,-118.62,49.01,57
93,-109.8,28.41,57
94,-126.9,54.81,58
95,-142.51,63.37,58
96,-110.48,32.75,58
97,-111.07,31.98,58
98,-109.03,27,58
99,-108.23,26.72,58
100,-111.03,31.88,58
101,-108.08,32.85,59
102,-110.32,30.95,59
103,-110.45,31.12,59
104,-110.18,30.85,59
105,-110.28,31,59
106,-110.95,33.4,59
107,-111.22,33.04,60
108,-110.72,31.49,60
109,-111,33.38,60
110,-106.1,23.6,60
111,-110.74,33.42,60
112,-109.02,27.17,60
113,-110.97,33.16,61
114,-109.46,30.41,61
115,-110.94,33.33,61
116,-110.9,33.34,61
117,-121.42,50.92,61
118,-110.9,33.34,61
119,-104.4,29.81,61
120,-110.76,31.83,62
121,-110.76,31.83,62
122,-110.42,31.06,62
123,-111.43,33.04,62
124,-111.42,33.12,62
125,-111.8,32.96,63
126,-112.85,32.36,63
127,-124.49,51.22,63
128,-110.43,31.04,63
129,-108.08,32.85,64
130,-110.45,31.12,64
131,-110.73,33.07,64
132,-110.88,33.41,64
133,-111.05,33.29,64
134,-100.98,21.82,64
135,-112.58,34.51,64
136,-111.22,33.04,65
137,-112.53,46.02,65
138,-111.95,32.87,66
139,-108.12,27.02,66
140,-111.88,32.52,66
141,-111.5,32.4,68
142,-110.68,32.7,68
143,-110.67,32.67,68
144,-140.74,64,68
145,-141.32,63.52,68
146,-139.12,63.48,68
147,-108.08,32.85,69
148,-137.81,62.45,69
149,-120.71,50.34,69
150,-111.22,33.04,70
151,-133.75,60.99,70
152,-112.17,30.72,70
153,-140.42,64.19,70
154,-140.35,64.33,70
155,-133.41,59.71,70
156,-127.28,54.83,70
157,-111.58,33.11,70
158,-138.45,62.67,70
159,-137.94,62.56,70
160,-125.27,53.33,70
161,-111.95,32.87,71
162,-143.47,63.89,71
163,-113.17,34.58,71
164,-141.46,63.64,72
165,-137.2,62.09,72
166,-114.15,35.37,73
167,-138.84,62.74,74
168,-110.65,31.19,74
169,-110.46,31.77,74
170,-133.75,60.99,75
171,-138.02,62.65,75
172,-108.12,32.81,75
173,-157.05,64.13,75
174,-137.3,62.64,76
175,-137.19,62.08,76
176,-137.33,62.34,76
177,-137.2,62.61,76
178,-137.27,62.33,77
179,-137.62,62.43,77
180,-126.34,54.75,77
181,-123.63,51.46,79
182,-133.75,60.99,80
183,-123.37,51.04,80
184,-123.42,51.08,80
185,-117.95,38.78,81
186,-127.18,53.68,82
187,-155.83,66.18,82
188,-127.23,53.53,85
189,-106.37,24.9,85
190,-108.39,29.4,86
191,-123.4,51.1,86
192,-123.35,51.1,87
193,-123.39,51.09,87
194,-117.05,40.61,88
195,-120.38,48.61,89
196,-150.03,65.27,89
197,-117.22,40.42,89
198,-127.69,54.85,89
199,-127.94,54.84,89
200,-155.28,59.9,90
201,-108.39,29.4,91
202,-115.13,35.48,94
203,-120.48,49.63,97
204,-120.85,40.2,100
205,-138.61,62.53,103
206,-142.87,63.67,103
207,-142.99,63.61,103
208,-143.8,64.21,103
209,-138.56,62.72,105
210,-118.43,38.62,105
211,-118.08,38.49,105
212,-143.93,64.23,106
213,-143.89,64.23,106
214,-137.09,62.27,108
215,-115,39.26,110
216,-125.3,55.5,121
217,-124.96,55.11,134
218,-114.77,41.77,150
219,-127.62,50.26,154
220,-119.24,39.05,161
221,-113.39,28.06,165
222,-120.18,49.67,166
223,-119.2,38.98,167
224,-127.51,50.61,167
225,-127.46,50.6,167
226,-127.52,50.63,167
