index,lon,lat,age
0,-72.97,-45.9,0
1,-72.95,-40.71,0
2,-72.95,-41.87,0
3,-72.7389,-46.1789,0
4,-72.7003,-46.165,0
5,-72.6,-42.72,0
6,-72.6,-42.73,0
7,-72.6,-42.93,0
8,-72.56,-46.1228,0
9,-72.53,-41.14,0
10,-72.52,-41.15,0
11,-72.27,-41.3,0
12,-72.24,-40.51,0
13,-72.225,-41.3,0
14,-72.19,-40.78,0
15,-72.153,-40.771,0
16,-72.14668,-40.66213,0
17,-72.14073,-40.63332,0
18,-72.12,-40.59,0
19,-72.10573,-40.59582,0
20,-72,-39.93,0
21,-71.98,-39.31,0
22,-71.97,-39.35,0
23,-71.97,-39.38,0
24,-71.95362,-40.70835,0
25,-71.95,-39.39,0
26,-71.95,-39.4,0
27,-71.82,-39.2,0
28,-71.81,-39.27,0
29,-71.66662,-40.75817,0
30,-71.62,-38.75,0
31,-71.6,-38.4,0
32,-71.53,-38.36,0
33,-71.51,-38.34,0
34,-71.27,-36.2,0
35,-70.85,-35.58,0
36,-70.83,-36,0
37,-70.78,-38.65,0
38,-70.78,-39.98,0
39,-70.75,-39.99,0
40,-70.67,-41.45,0
41,-70.61,-38.3,0
42,-70.31,-39.11,0
43,-70.22,-41.04,0
44,-70.21,-42.07,0
45,-70.15,-38.92,0
46,-70.14,-41.77,0
47,-70.05,-42.14,0
48,-69.87,-39.16,0
49,-69.8,-41.37,0
50,-68.5525,-21.9106,0
51,-68.5403,-21.9153,0
52,-68.5239,-21.8911,0
53,-68.5228,-21.9072,0
54,-68.5175,-25.3011,0
55,-68.5108,-21.895,0
56,-68.5078,-21.8964,0
57,-68.5042,-21.8939,0
58,-68.4969,-21.8939,0
59,-68.4853,-21.8478,0
60,-68.4806,-21.8319,0
61,-68.4681,-21.9006,0
62,-68.4614,-21.8494,0
63,-68.4608,-21.8864,0
64,-68.4578,-21.8869,0
65,-68.4569,-21.8861,0
66,-68.4533,-21.8536,0
67,-68.1875,-21.2875,0
68,-68.1875,-21.3056,0
69,-68.1833,-21.3028,0
70,-69,-37.1,1
71,-68.2947,-21.3185,1
72,-73.17,-45.1,2
73,-72.984,-45.059,2
74,-72.97,-45.9,2
75,-72.88,-44.08,2
76,-72.6,-41.01,2
77,-72.53,-44.3,2
78,-72.225,-41.3,2
79,-72.12,-40.59,2
80,-72,-40.35,2
81,-72,-40.75,2
82,-71.95,-39.42,2
83,-71.93,-39.42,2
84,-71.8,-37.38,2
85,-71.6,-38.4,2
86,-71.5,-38.5,2
87,-71.46,-37.4,2
88,-71.37,-37.38,2
89,-71.36,-37.4,2
90,-71.35,-37.37,2
91,-71.35,-37.39,2
92,-71.34,-37.4,2
93,-71.33,-37.45,2
94,-71.32,-37.38,2
95,-71.32,-37.46,2
96,-71.3,-37.39,2
97,-71.3,-37.41,2
98,-71.27,-36.2,2
