index,lon,lat,age,plate_id
0,-110.91,30.0,40,101
1,-120.92,59.62,40,101
2,-103.04,44.59,40,101
3,-131.24,66.38,40,101
4,-148.28,63.0,40,16110
5,-107.35,37.36,40,101
6,-100.55,31.28,40,101
7,-95.94,38.33,40,101
8,-105.0,22.72,40,104
9,-114.57,44.61,40,154
10,-117.73,36.98,40,178
11,-110.45,52.43,40,101
12,-123.85,51.58,40,16101
13,-141.44,60.43,40,16121
14,-128.5,58.8,40,16106
15,-125.48,63.09,40,101
16,-133.76,61.99,40,16106
17,-148.28,67.5,40,18103
18,-140.3,64.94,40,154
19,-113.07,59.98,40,101
20,-116.3,63.69,40,101
21,-120.97,67.32,40,101
22,-165.43,61.56,40,18106
23,-156.42,60.29,40,18106
24,-159.72,69.25,40,103
25,-157.78,64.8,40,18106
26,-100.46,48.14,40,101
27,-105.31,41.0,40,101
28,-101.68,37.99,40,101
29,-99.31,41.52,40,101
30,-109.21,33.69,40,101
31,-105.76,30.74,40,101
32,-103.83,34.37,40,101
33,-95.29,31.61,40,101
34,-98.34,34.83,40,101
35,-107.86,26.39,40,104
36,-102.29,19.0,40,215
37,-97.76,27.44,40,101
38,-102.86,27.02,40,101
39,-97.48,19.41,40,215
40,-100.09,23.21,40,104
41,-112.56,37.28,40,101
42,-114.18,33.54,40,101
43,-108.8,44.75,40,101
44,-110.76,41.04,40,101
45,-120.28,44.19,40,173
46,-121.61,40.3,40,178
47,-116.24,40.81,40,178
48,-103.92,52.2,40,101
49,-106.46,48.57,40,101
50,-115.2,56.14,40,101
51,-108.06,56.18,40,101
52,-129.31,54.71,40,16124
53,-122.54,55.61,40,154
54,-112.67,48.54,40,101
55,-117.21,52.2,40,154
56,-118.89,48.19,40,154
57,-159.28,56.54,40,16112
58,-161.92,55.22,40,16112
59,-144.72,61.76,40,16112
60,-148.28,60.75,40,16121
61,-132.14,58.23,40,16101
62,-131.0,60.42,40,16106
63,-134.77,59.77,40,16101
64,-124.76,59.26,40,101
65,-123.07,61.37,40,101
66,-127.09,60.95,40,154
67,-128.18,64.77,40,101
68,-132.6,64.19,40,154
69,-129.7,62.6,40,154
70,-139.55,67.17,40,154
71,-135.89,65.73,40,154
72,-148.28,69.75,40,103
73,-143.67,68.52,40,103
74,-148.28,65.25,40,16105
75,-144.43,64.02,40,16105
76,-144.09,66.27,40,154
77,-137.69,61.26,40,16104
78,-136.86,63.5,40,154
79,-140.91,62.68,40,16105
80,-117.02,59.86,40,101
81,-114.59,61.85,40,101
82,-118.76,61.67,40,101
83,-109.1,59.99,40,101
84,-110.37,61.89,40,101
85,-111.82,63.78,40,101
86,-120.94,63.46,40,101
87,-118.47,65.52,40,101
88,-126.2,66.94,40,101
89,-123.4,65.22,40,101
90,-129.45,68.61,40,101
91,-155.91,58.05,40,16112
92,-152.53,61.7,40,18106
93,-153.28,66.22,40,18106
94,-152.88,63.98,40,18104
95,-153.78,68.47,40,103
96,-162.96,65.45,40,43301
97,-158.66,67.03,40,18103
98,-160.84,61.0,40,18106
99,-157.05,62.55,40,18106
100,-161.82,63.23,40,18106
101,-99.03,49.88,40,101
102,-101.79,46.37,40,101
103,-99.81,44.92,40,101
104,-98.46,46.66,40,101
105,-104.21,42.8,40,101
106,-102.33,41.3,40,101
107,-101.13,43.07,40,101
108,-106.36,39.18,40,101
109,-104.53,37.71,40,101
110,-103.46,39.5,40,101
111,-98.82,38.19,40,101
112,-97.59,39.94,40,101
113,-100.53,39.76,40,101
114,-108.3,35.53,40,101
115,-106.53,34.06,40,101
116,-105.56,35.88,40,101
117,-110.07,31.85,40,101
118,-108.34,30.4,40,101
119,-107.46,32.23,40,101
120,-103.16,31.04,40,101
121,-102.16,32.84,40,101
122,-104.81,32.56,40,101
123,-97.92,31.47,40,101
124,-96.79,33.23,40,101
125,-99.47,33.06,40,101
126,-92.64,31.69,40,101
127,-94.09,33.34,40,101
128,-94.36,36.71,40,101
129,-97.17,36.59,40,101
130,-95.6,34.98,40,101
131,-102.78,36.18,40,101
132,-101.09,34.63,40,101
133,-99.98,36.42,40,101
134,-97.98,43.34,40,101
135,-96.23,41.74,40,101
136,-109.36,28.2,40,104
137,-110.96,24.5,40,105
138,-106.41,24.56,40,104
139,-103.62,20.86,40,104
140,-99.12,29.37,40,101
141,-96.55,29.53,40,101
142,-104.28,28.89,40,101
143,-101.73,29.15,40,101
144,-106.83,28.57,40,101
145,-103.94,24.87,40,104
146,-105.36,26.73,40,101
147,-101.2,21.11,40,104
148,-102.55,22.98,40,104
149,-98.6,17.33,40,215
150,-99.89,19.22,40,215
151,-98.77,21.32,40,104
152,-100.31,27.25,40,101
153,-101.45,25.12,40,104
154,-98.94,25.33,40,101
155,-92.42,15.44,40,208
156,-96.15,17.41,40,215
157,-91.24,17.49,40,205
158,-93.69,17.46,40,205
159,-90.0,19.54,40,205
160,-114.2,27.68,40,105
161,-111.7,33.64,40,101
162,-112.51,31.78,40,101
163,-109.96,37.35,40,101
164,-110.84,35.5,40,101
165,-115.15,37.16,40,178
166,-115.92,35.27,40,101
167,-113.39,35.41,40,178
168,-108.04,41.05,40,101
169,-109.01,39.21,40,101
170,-105.91,44.71,40,101
171,-107.0,42.88,40,101
172,-111.69,44.72,40,101
173,-112.61,42.84,40,178
174,-109.81,42.9,40,101
175,-117.44,44.44,40,173
176,-118.21,42.52,40,173
177,-115.43,42.71,40,173
178,-123.1,43.87,40,173
179,-123.7,41.92,40,176
180,-120.97,42.25,40,173
181,-119.63,38.66,40,178
182,-117.01,38.89,40,178
183,-118.94,40.59,40,178
184,-111.68,39.17,40,178
185,-113.51,40.96,40,178
186,-114.35,39.06,40,178
187,-103.44,48.39,40,101
188,-104.68,46.59,40,101
189,-100.69,51.95,40,101
190,-102.11,50.18,40,101
191,-107.18,52.36,40,101
192,-108.37,50.52,40,101
193,-105.23,50.39,40,101
194,-110.43,58.11,40,101
195,-106.68,58.04,40,101
196,-117.92,57.91,40,101
197,-114.19,58.06,40,101
198,-112.72,54.31,40,101
199,-109.31,54.31,40,101
200,-111.63,56.21,40,101
201,-102.48,54.01,40,101
202,-104.47,56.04,40,101
203,-105.89,54.21,40,101
204,-125.39,57.24,40,154
205,-121.77,57.61,40,101
206,-128.93,56.75,40,16101
207,-126.48,53.17,40,16101
208,-123.22,53.59,40,16113
209,-125.96,55.2,40,16101
210,-124.42,49.56,40,16110
211,-126.97,51.12,40,16110
212,-107.67,46.67,40,101
213,-111.61,50.49,40,101
214,-109.56,48.6,40,101
215,-113.65,46.58,40,154
216,-110.67,46.66,40,101
217,-116.25,54.17,40,101
218,-113.84,52.36,40,101
219,-118.89,55.93,40,101
220,-120.55,51.93,40,16107
221,-119.77,53.93,40,154
222,-121.94,47.9,40,173
223,-121.28,49.91,40,16102
224,-122.55,45.89,40,173
225,-116.66,46.42,40,173
226,-119.61,46.19,40,173
227,-114.85,50.39,40,154
228,-118.09,50.2,40,16107
229,-115.79,48.41,40,154
230,-115.09,31.3,40,105
231,-118.59,34.72,40,101
232,-116.81,33.03,40,101
233,-122.42,38.05,40,176
234,-120.48,36.41,40,176
235,-160.62,55.89,40,16112
236,-143.04,61.1,40,16110
237,-144.84,60.63,40,16121
238,-146.46,62.39,40,16112
239,-148.28,61.87,40,16112
240,-146.53,61.26,40,16121
241,-133.42,59.01,40,16101
242,-135.22,58.67,40,16111
243,-130.33,58.52,40,16113
244,-129.72,59.61,40,16106
245,-131.59,59.32,40,16104
246,-132.35,61.21,40,16106
247,-134.28,60.88,40,16101
248,-132.9,60.11,40,16113
249,-126.64,59.04,40,154
250,-125.9,60.11,40,154
251,-127.82,59.88,40,154
252,-122.85,59.45,40,101
253,-121.97,60.5,40,101
254,-123.94,60.32,40,101
255,-124.24,62.24,40,101
256,-126.31,62.03,40,154
257,-125.1,61.18,40,101
258,-126.79,63.94,40,101
259,-128.97,63.69,40,154
260,-127.61,62.86,40,154
261,-129.66,65.58,40,101
262,-131.95,65.29,40,101
263,-130.41,64.49,40,154
264,-133.2,63.09,40,154
265,-131.75,62.31,40,154
266,-131.11,63.4,40,154
267,-129.06,60.7,40,154
268,-128.36,61.78,40,154
269,-130.37,61.51,40,16104
270,-132.92,67.17,40,101
271,-135.33,66.83,40,154
272,-133.6,66.07,40,101
273,-136.61,68.68,40,101
274,-139.12,68.28,40,103
275,-137.17,67.57,40,154
276,-139.94,66.05,40,154
277,-138.13,65.35,40,154
278,-137.67,66.46,40,154
279,-143.43,69.64,40,103
280,-141.21,68.98,40,103
281,-148.28,68.62,40,103
282,-146.03,68.03,40,18102
283,-145.91,69.15,40,103
284,-148.28,66.38,40,18103
285,-146.23,65.77,40,154
286,-146.13,66.9,40,154
287,-148.28,64.12,40,16105
288,-146.39,63.52,40,16105
289,-146.31,64.65,40,16105
290,-142.4,64.49,40,16104
291,-142.14,65.61,40,154
292,-144.26,65.15,40,16105
293,-141.55,67.86,40,103
294,-143.89,67.39,40,103
295,-141.86,66.74,40,154
296,-136.61,59.41,40,16111
297,-135.75,61.64,40,16101
298,-136.2,60.53,40,16104
299,-139.59,60.86,40,16111
300,-138.07,60.14,40,16111
301,-134.76,63.86,40,154
302,-135.27,62.75,40,16106
303,-134.2,64.97,40,154
304,-138.53,64.23,40,154
305,-136.4,64.61,40,154
306,-142.63,63.36,40,16105
307,-140.62,63.81,40,16104
308,-144.58,62.89,40,16110
309,-141.18,61.55,40,16110
310,-142.84,62.23,40,16110
311,-137.29,62.38,40,16104
312,-138.91,63.1,40,16104
