index,lon,lat,age,plate_id
0,-112.36,47.03,46,154
1,-110.07,29.9,47,101
2,-107.4,26.23,47,104
3,-126.9,54.81,48,16101
4,-131.55,57.06,48,16101
5,-127.27,54.23,48,16101
6,-127.69,53.75,48,16101
7,-127.02,53.86,48,16101
8,-127.18,53.85,48,16101
9,-129.42,55.42,49,16101
10,-125.41,49.68,49,16110
11,-125.96,49.25,49,16110
12,-125.99,49.27,49,16110
13,-107.24,25.01,49,104
14,-126.31,55.41,49,16101
15,-109.6,32.93,50,101
16,-127.44,53.8,50,16101
17,-111.32,43.09,50,178
18,-109.15,28.37,50,104
19,-126.32,55.19,50,16101
20,-109.5,30.3,51,101
21,-126.16,54.94,51,16101
22,-110.07,29.9,52,101
23,-107.35,25.67,52,104
24,-126.0,54.85,52,16101
25,-126.2,55.27,52,16101
26,-109.73,30.38,52,101
27,-126.24,55.29,52,16101
28,-107.72,26.99,52,104
29,-107.75,27.0,52,104
30,-126.9,54.81,53,16101
31,-107.68,27.57,53,104
32,-126.23,55.0,53,16101
33,-126.88,56.11,53,16101
34,-109.72,30.38,53,101
35,-110.03,32.09,53,101
36,-109.63,30.34,53,101
37,-109.63,30.34,53,101
38,-110.32,30.95,54,101
39,-110.66,29.93,54,101
40,-119.34,49.39,54,154
41,-109.6,32.93,55,101
42,-111.12,31.87,55,101
43,-109.62,28.53,55,104
44,-106.1,23.27,55,104
45,-109.5,30.3,56,101
46,-108.07,32.79,56,101
47,-109.34,33.09,56,101
48,-108.07,32.81,56,101
49,-108.37,32.63,56,101
50,-109.7,30.27,56,101
51,-141.32,63.52,56,16105
52,-111.02,31.97,56,101
53,-110.07,29.9,57,101
54,-107.35,25.67,57,104
55,-110.76,31.83,57,101
56,-110.76,31.83,57,101
57,-122.6,51.13,57,16101
58,-109.66,28.39,57,104
59,-109.75,30.48,57,101
60,-118.62,49.01,57,16107
61,-109.8,28.41,57,104
62,-126.9,54.81,58,16101
63,-142.51,63.37,58,16105
64,-110.48,32.75,58,101
65,-111.07,31.98,58,101
66,-109.03,27.0,58,104
67,-108.23,26.72,58,104
68,-111.03,31.88,58,101
69,-108.08,32.85,59,101
70,-110.32,30.95,59,101
71,-110.45,31.12,59,101
72,-110.18,30.85,59,101
73,-110.28,31.0,59,101
74,-110.95,33.4,59,101
75,-111.22,33.04,60,101
76,-110.72,31.49,60,101
77,-111.0,33.38,60,101
78,-106.1,23.6,60,104
79,-110.74,33.42,60,101
80,-109.02,27.17,60,104
81,-110.97,33.16,61,101
82,-109.46,30.41,61,101
83,-110.94,33.33,61,101
84,-110.9,33.34,61,101
85,-121.42,50.92,61,16102
86,-110.9,33.34,61,101
87,-104.4,29.81,61,101
88,-110.76,31.83,62,101
89,-110.76,31.83,62,101
90,-110.42,31.06,62,101
91,-111.43,33.04,62,101
92,-111.42,33.12,62,101
93,-111.8,32.96,63,101
94,-112.85,32.36,63,101
95,-124.49,51.22,63,16101
96,-110.43,31.04,63,101
97,-108.08,32.85,64,101
98,-110.45,31.12,64,101
99,-110.73,33.07,64,101
100,-110.88,33.41,64,101
101,-111.05,33.29,64,101
102,-100.98,21.82,64,104
103,-112.58,34.51,64,101
104,-111.22,33.04,65,101
105,-112.53,46.02,65,154
106,-111.95,32.87,66,101
107,-108.12,27.02,66,104
108,-111.88,32.52,66,101
109,-111.5,32.4,68,101
110,-110.68,32.7,68,101
111,-110.67,32.67,68,101
112,-140.74,64.0,68,16104
113,-141.32,63.52,68,16105
114,-139.12,63.48,68,16104
115,-108.08,32.85,69,101
116,-137.81,62.45,69,16104
117,-120.71,50.34,69,16102
118,-111.22,33.04,70,101
119,-133.75,60.99,70,16104
120,-112.17,30.72,70,101
121,-140.42,64.19,70,16104
122,-140.35,64.33,70,16104
123,-133.41,59.71,70,16113
124,-127.28,54.83,70,16101
125,-111.58,33.11,70,101
126,-138.45,62.67,70,16104
127,-137.94,62.56,70,16104
128,-125.27,53.33,70,16101
129,-111.95,32.87,71,101
130,-143.47,63.89,71,16105
131,-113.17,34.58,71,178
132,-141.46,63.64,72,16105
133,-137.2,62.09,72,16104
134,-114.15,35.37,73,178
135,-138.84,62.74,74,16104
136,-110.65,31.19,74,101
137,-110.46,31.77,74,101
138,-133.75,60.99,75,16104
139,-138.02,62.65,75,16104
140,-108.12,32.81,75,101
141,-157.05,64.13,75,18103
142,-137.3,62.64,76,16101
143,-137.19,62.08,76,16104
144,-137.33,62.34,76,16104
145,-137.2,62.61,76,16101
146,-137.27,62.33,77,16104
147,-137.62,62.43,77,16104
148,-126.34,54.75,77,16101
149,-123.63,51.46,79,16101
150,-133.75,60.99,80,16104
151,-123.37,51.04,80,173
152,-123.42,51.08,80,173
