lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-112.360,47.030,46.000,154.000,-99.644,51.321,,,,,,,,,,,,,,,,,,,,,,,,,,,
-110.070,29.900,47.000,101.000,-98.712,34.112,0.057,374.000,-102.290,32.840,9.800,-16.630,2.450,-163.980,0.200,65.420,903.000,101.000,16.540,16.540,9.390,-2.810,-2.360,-0.680,-7.840,-26.280,7.030,-3.470,24.410,0.110,12.480,78.440,1.910
-107.400,26.230,47.000,104.000,-96.230,30.289,0.059,402.000,-99.500,28.500,13.510,4.560,2.540,-155.450,0.180,57.540,902.000,101.000,11.580,11.580,13.470,1.070,-2.310,-1.060,-11.160,0.010,11.160,0.000,27.090,0.140,18.880,85.920,2.050
-126.900,54.810,48.000,16101.000,-114.237,59.817,0.068,213.000,-120.030,57.390,7.550,-12.150,3.220,150.900,0.190,48.970,903.000,101.000,10.830,46.600,7.380,-1.590,-2.820,1.570,-4.580,-0.040,4.580,-0.000,0.900,0.020,11.140,43.770,0.720
-131.550,57.060,48.000,16101.000,-119.327,62.219,0.048,187.000,-124.670,61.200,24.290,-80.740,3.100,126.970,0.170,67.000,918.000,101.000,6.280,51.150,3.910,-23.970,-1.870,2.480,-21.570,-84.550,2.050,-21.470,4.450,0.020,22.400,48.980,1.500
-127.270,54.230,48.000,16101.000,-114.732,59.252,0.058,214.000,-119.800,57.250,7.600,-12.080,3.230,150.950,0.190,49.160,903.000,101.000,11.020,46.410,7.430,-1.590,-2.820,1.570,-4.620,-0.030,4.620,-0.000,0.900,0.020,11.140,43.770,0.720
-127.690,53.750,48.000,16101.000,-115.268,58.788,0.050,216.000,-119.350,56.960,7.680,-11.940,3.240,151.060,0.190,49.540,903.000,101.000,11.390,46.040,7.520,-1.590,-2.830,1.570,-4.700,-0.030,4.700,-0.000,0.900,0.020,11.140,43.770,0.720
-127.020,53.860,48.000,16101.000,-114.492,58.874,0.056,217.000,-119.130,56.820,7.730,-11.870,3.240,151.110,0.190,49.720,903.000,101.000,11.580,45.850,7.560,-1.590,-2.840,1.570,-4.740,-0.030,4.740,-0.000,0.900,0.020,5.580,43.770,0.720
-127.180,53.850,48.000,16101.000,-114.676,58.870,0.055,216.000,-119.350,56.960,7.680,-11.940,3.240,151.060,0.190,49.540,903.000,101.000,11.390,46.040,7.520,-1.590,-2.830,1.570,-4.700,-0.030,4.700,-0.000,0.900,0.020,11.140,43.770,0.720
-129.420,55.420,49.000,16101.000,-116.847,60.788,0.055,202.000,-122.070,59.060,24.700,-62.930,3.170,144.260,0.200,53.220,918.000,101.000,9.000,48.300,11.240,-21.990,-2.580,1.850,-21.900,-66.700,8.660,-20.110,2.560,0.040,18.330,46.180,1.300
