lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-110.91,30.0,40.0,101.0,-101.40700000000001,34.22,0.046,381.0,-104.25,33.05,14.54,-5.87,2.42,-155.75,0.18,65.16,902.0,101.0,17.74,17.74,14.47,-1.49,-2.2,-0.99,-12.51,-11.48,12.26,-2.49,8.78,0.09,28.21,53.58,1.75
-148.28,63.0,40.0,16110.0,-141.201,68.22,0.054000000000000006,152.0,-136.31,65.75,3.92,5.92,-1.29,-60.96,0.2,324.84,901.0,111.0,1.09,1.09,3.9,0.4,0.63,-1.13,-4.59,-9.16,4.53,-0.73,13.52,0.03,27.52,63.74,1.81
-105.0,22.72,40.0,104.0,-95.83,26.61,0.045,432.0,-98.33,25.31,14.94,12.7,2.57,-139.41,0.19,49.37,902.0,101.0,8.35,8.35,14.58,3.29,-1.95,-1.67,-12.73,7.23,12.63,1.6,36.18,0.19,21.51,96.71,2.1
-117.73,36.98,40.0,178.0,-108.064,41.532,0.065,328.0,-112.29,39.62,7.96,-15.74,2.25,-154.65,0.19,63.24,903.0,101.0,27.27,27.27,7.66,-2.16,-2.03,-0.96,-6.42,-28.98,5.62,-3.11,38.43,0.1,22.43,103.15,2.16
-123.85,51.58,40.0,16101.0,-113.39399999999999,56.36600000000001,0.049,266.0,-116.82,54.34,5.23,-23.26,1.77,-137.61,0.19,45.28,903.0,101.0,15.1,43.36,4.8,-2.06,-1.31,-1.19,-4.76,-43.05,3.48,-3.25,16.8,0.04,41.0,68.86,1.9
-141.44,60.43,40.0,16121.0,-132.957,65.634,0.002,163.0,-133.16,65.59,3.87,-85.75,1.3,-154.42,0.17,58.79,901.0,101.0,0.87,57.6,0.29,-3.86,-1.18,-0.56,4.51,-101.44,-0.9,-4.42,13.19,0.0,29.83,60.15,1.8
-128.5,58.8,40.0,16106.0,-117.802,63.736999999999995,0.084,185.0,-128.2,62.62,-3.83,-108.43,1.43,-177.55,0.16,83.08,901.0,101.0,4.57,53.89,-1.21,-3.64,-1.43,-0.06,4.55,-125.64,-2.65,-3.7,10.06,0.0,34.91,56.5,1.74
-133.76,61.99,40.0,16106.0,-123.60600000000001,67.069,0.07,170.0,-131.44,64.62,3.86,-71.07,1.35,-139.96,0.19,44.74,901.0,101.0,2.08,56.38,1.25,-3.65,-1.03,-0.87,-4.52,-87.28,0.21,-4.52,11.55,0.01,29.83,60.15,1.78
-140.3,64.94,40.0,154.0,-131.298,70.131,0.069,158.0,-134.03,66.29,-3.87,-95.68,1.27,-164.45,0.15,68.55,901.0,101.0,0.07,58.39,-0.38,-3.85,-1.23,-0.34,4.49,-111.08,-1.62,-4.19,13.19,0.0,29.83,63.74,1.83
-156.42,60.29,40.0,18106.0,-150.85399999999998,65.413,0.066,128.0,-144.69,62.76,4.15,7.65,-1.4,-51.83,0.19,315.2,901.0,111.0,5.79,5.79,4.11,0.55,0.86,-1.1,-5.01,-6.34,4.98,-0.55,18.65,0.04,20.83,71.74,1.86
-107.86,26.39,40.0,104.0,-98.508,30.444000000000003,0.054000000000000006,407.0,-101.64,28.92,14.79,3.45,2.51,-147.55,0.18,57.21,902.0,101.0,13.02,13.02,14.77,0.89,-2.12,-1.35,-12.66,-2.09,12.65,-0.46,28.39,0.16,76.53,88.06,1.93
-102.29,19.0,40.0,215.0,-93.32600000000001,22.726999999999997,0.032,462.0,-94.35,21.13,15.0,31.87,2.64,-121.42,0.19,31.72,902.0,101.0,2.55,2.55,12.74,7.92,-1.37,-2.25,-12.7,26.48,11.37,5.66,24.09,0.14,18.24,80.92,1.92
-97.48,19.41,40.0,215.0,-88.381,22.811999999999998,0.07400000000000001,476.0,-91.81,20.04,14.04,-2.97,1.41,165.97,0.18,60.58,902.0,2000.0,0.09,11.93,14.02,-0.73,-1.37,0.34,-12.65,-1.36,12.65,-0.3,33.52,0.17,18.4,96.31,2.12
-114.18,33.54,40.0,101.0,-104.568,37.926,0.044000000000000004,362.0,-106.55,35.97,9.25,3.67,2.35,-136.69,0.19,45.87,903.0,101.0,21.28,21.28,9.24,0.59,-1.71,-1.61,-7.58,-7.67,7.51,-1.01,8.92,0.06,0.58,56.04,1.67
