lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-153.092,60.032,0.0,16112.0,-153.092,60.032,0.042,275.0,-150.04,58.21,5.15,14.79,1.84,-130.7,0.19,317.35,901.0,111.0,3.73,3.73,4.98,1.32,-1.2,-1.39,-3.79,-1.36,3.79,-0.09,39.36,0.07,75.8,105.85,2.04
-153.435,59.363,0.0,16112.0,-153.435,59.363,0.036000000000000004,273.0,-150.57,57.95,5.19,14.68,1.83,-130.42,0.19,316.9,901.0,111.0,4.11,4.11,5.02,1.32,-1.19,-1.39,-3.85,-1.34,3.84,-0.09,39.36,0.07,68.81,105.85,2.04
-153.535,58.86,0.0,16112.0,-153.535,58.86,0.03,270.0,-151.35,57.56,5.25,14.51,1.82,-129.99,0.19,316.24,901.0,111.0,4.69,4.69,5.08,1.32,-1.17,-1.39,-3.92,-1.32,3.92,-0.09,42.02,0.07,68.81,108.47,2.06
-154.357,58.453,0.0,16112.0,-154.357,58.453,0.031,267.0,-152.11,57.16,5.31,14.35,1.81,-129.56,0.19,315.6,901.0,111.0,5.26,5.26,5.14,1.32,-1.15,-1.39,-4.0,-1.29,4.0,-0.09,42.02,0.07,68.81,108.47,2.06
-154.953,58.278999999999996,0.0,16112.0,-154.953,58.278999999999996,0.033,265.0,-152.61,56.89,5.35,14.24,1.8,-129.27,0.19,315.18,901.0,111.0,5.64,5.64,5.18,1.32,-1.14,-1.39,-4.05,-1.28,4.05,-0.09,42.02,0.07,68.81,108.47,2.06
-156.37,57.75,0.0,16112.0,-156.37,57.75,0.036000000000000004,261.0,-153.59,56.35,5.42,14.03,1.78,-128.67,0.19,314.36,901.0,111.0,6.41,6.41,5.26,1.32,-1.11,-1.39,-4.16,-1.24,4.16,-0.09,44.17,0.08,66.3,112.26,2.14
-156.991,57.133,0.0,16112.0,-156.991,57.133,0.033,257.0,-154.47,55.86,5.49,11.54,1.77,-130.46,0.16,315.97,901.0,111.0,7.09,7.09,5.38,1.1,-1.15,-1.35,-4.25,-3.52,4.24,-0.26,44.17,0.07,66.3,112.26,2.14
-158.209,56.906000000000006,0.0,16112.0,-158.209,56.906000000000006,0.037000000000000005,249.0,-156.33,55.04,5.63,-5.74,1.74,-146.68,0.16,331.61,901.0,111.0,8.44,8.44,5.6,-0.56,-1.45,-0.96,-4.42,-20.28,4.15,-1.53,51.2,0.07,42.53,121.58,2.22
-159.393,56.198,0.0,16112.0,-159.393,56.198,0.034,244.0,-157.46,54.59,5.7,2.02,1.72,-138.35,0.18,322.91,901.0,111.0,9.24,9.24,5.7,0.2,-1.28,-1.14,-4.52,-12.19,4.42,-0.95,52.25,0.09,41.87,122.87,2.22
-159.791,56.013000000000005,0.0,16112.0,-159.791,56.013000000000005,0.034,243.0,-157.7,54.48,5.72,2.02,1.71,-138.22,0.18,322.71,901.0,111.0,9.42,9.42,5.72,0.2,-1.28,-1.14,-4.55,-12.12,4.45,-0.95,52.03,0.09,41.87,122.54,2.21
-161.894,55.417,0.0,16112.0,-161.894,55.417,0.035,232.0,-160.68,53.56,5.91,-15.44,1.66,-154.79,0.19,338.04,901.0,111.0,11.41,11.41,5.7,-1.57,-1.5,-0.71,-4.78,-28.67,4.2,-2.29,51.34,0.09,37.06,121.63,2.21
-162.274,55.187,0.0,16112.0,-162.274,55.187,0.032,231.0,-160.97,53.49,5.93,-15.39,1.65,-154.7,0.19,337.8,901.0,111.0,11.6,11.6,5.71,-1.57,-1.49,-0.71,-4.8,-28.53,4.22,-2.29,53.51,0.09,37.06,124.31,2.2
