lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-110.07,29.9,47.0,101.0,-98.712,34.111999999999995,0.057,374.0,-102.29,32.84,9.8,-16.63,2.45,-163.98,0.2,65.42,903.0,101.0,16.54,16.54,9.39,-2.81,-2.36,-0.68,-7.84,-26.28,7.03,-3.47,24.41,0.11,12.48,78.44,1.91
-107.4,26.23,47.0,104.0,-96.23,30.289,0.059000000000000004,402.0,-99.5,28.5,13.51,4.56,2.54,-155.45,0.18,57.54,902.0,101.0,11.58,11.58,13.47,1.07,-2.31,-1.06,-11.16,0.01,11.16,0.0,27.09,0.14,18.88,85.92,2.05
-126.9,54.81,48.0,16101.0,-114.23700000000001,59.817,0.068,213.0,-120.03,57.39,7.55,-12.15,3.22,150.9,0.19,48.97,903.0,101.0,10.83,46.6,7.38,-1.59,-2.82,1.57,-4.58,-0.04,4.58,-0.0,0.9,0.02,11.14,43.77,0.72
-131.55,57.06,48.0,16101.0,-119.32700000000001,62.218999999999994,0.048,187.0,-124.67,61.2,24.29,-80.74,3.1,126.97,0.17,67.0,918.0,101.0,6.28,51.15,3.91,-23.97,-1.87,2.48,-21.57,-84.55,2.05,-21.47,4.45,0.02,22.4,48.98,1.5
-127.27,54.23,48.0,16101.0,-114.73200000000001,59.251999999999995,0.057999999999999996,214.0,-119.8,57.25,7.6,-12.08,3.23,150.95,0.19,49.16,903.0,101.0,11.02,46.41,7.43,-1.59,-2.82,1.57,-4.62,-0.03,4.62,-0.0,0.9,0.02,11.14,43.77,0.72
-127.69,53.75,48.0,16101.0,-115.26799999999999,58.788000000000004,0.05,216.0,-119.35,56.96,7.68,-11.94,3.24,151.06,0.19,49.54,903.0,101.0,11.39,46.04,7.52,-1.59,-2.83,1.57,-4.7,-0.03,4.7,-0.0,0.9,0.02,11.14,43.77,0.72
-127.02,53.86,48.0,16101.0,-114.492,58.873999999999995,0.055999999999999994,217.0,-119.13,56.82,7.73,-11.87,3.24,151.11,0.19,49.72,903.0,101.0,11.58,45.85,7.56,-1.59,-2.84,1.57,-4.74,-0.03,4.74,-0.0,0.9,0.02,5.58,43.77,0.72
-129.42,55.42,49.0,16101.0,-116.84700000000001,60.788000000000004,0.055,202.0,-122.07,59.06,24.7,-62.93,3.17,144.26,0.2,53.22,918.0,101.0,9.0,48.3,11.24,-21.99,-2.58,1.85,-21.9,-66.7,8.66,-20.11,2.56,0.04,18.33,46.18,1.3
-125.41,49.68,49.0,16110.0,-112.915,54.912,0.013000000000000001,272.0,-113.96,54.45,8.46,-4.61,3.36,159.83,0.19,45.95,903.0,101.0,15.48,41.82,8.43,-0.68,-3.16,1.16,-5.31,5.37,5.29,0.5,6.82,0.05,39.42,52.77,1.75
-125.96,49.25,49.0,16110.0,-113.57700000000001,54.505,0.004,278.0,-113.73,54.31,8.5,-4.59,3.37,159.86,0.19,46.14,903.0,101.0,15.67,41.63,8.47,-0.68,-3.16,1.16,-5.35,5.34,5.32,0.5,6.82,0.05,39.42,52.77,1.75
