conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
14.54,17.74,0.09,28.21,1.75
3.92,1.09,0.03,27.52,1.81
14.94,8.35,0.19,21.51,2.1
7.96,27.27,0.1,22.43,2.16
5.23,15.1,0.04,41.0,1.9
3.87,0.87,0.0,29.83,1.8
-3.83,4.57,0.0,34.91,1.74
3.86,2.08,0.01,29.83,1.78
-3.87,0.07,0.0,29.83,1.83
4.15,5.79,0.04,20.83,1.86
14.79,13.02,0.16,76.53,1.93
15.0,2.55,0.14,18.24,1.92
14.04,0.09,0.17,18.4,2.12
9.25,21.28,0.06,0.58,1.67
5.76,19.5,0.02,39.93,1.96
6.77,26.08,0.08,23.68,1.97
3.82,9.97,0.01,53.76,1.75
5.47,16.62,0.02,46.6,1.92
4.33,10.0,0.04,26.98,1.92
4.42,12.51,0.05,23.4,1.92
3.89,0.49,0.03,28.46,1.83
3.99,2.47,0.03,26.77,1.83
-3.83,4.57,0.0,34.91,1.74
3.83,3.67,0.0,33.97,1.75
3.84,3.35,0.0,33.97,1.77
3.87,0.1,0.03,29.83,1.83
3.87,0.1,0.03,29.83,1.83
3.87,1.18,0.0,29.83,1.8
-3.87,0.07,0.0,29.83,1.83
-3.87,0.07,0.0,29.83,1.83
4.21,7.13,0.04,21.23,1.88
4.04,3.46,0.04,26.77,1.84
9.66,19.39,0.05,25.08,1.69
14.58,17.21,0.09,28.21,1.75
14.69,15.18,0.11,76.68,1.79
14.94,8.55,0.19,21.51,2.1
14.9,10.1,0.18,21.51,2.06
14.98,6.39,0.17,19.99,1.88
14.94,8.55,0.19,21.51,2.1
15.0,2.74,0.14,18.24,1.92
14.96,7.77,0.2,19.99,1.94
13.97,0.45,0.17,18.4,2.12
14.99,0.09,0.13,18.4,2.12
13.71,1.92,0.18,18.4,2.22
14.79,13.2,0.16,76.53,1.93
9.5,20.15,0.06,25.08,1.65
9.62,19.58,0.06,25.08,1.69
8.89,23.01,0.08,2.6,1.7
9.18,21.63,0.05,0.58,1.67
5.86,20.68,0.03,39.57,1.95
6.16,23.03,0.05,32.75,2.03
6.0,21.88,0.03,36.25,1.99
7.48,29.14,0.09,22.21,2.0
-3.84,6.8,0.0,35.65,1.61
4.76,13.16,0.04,47.42,1.83
5.0,14.14,0.04,44.62,1.86
3.81,10.83,0.01,53.76,1.8
5.36,15.67,0.05,41.0,1.9
4.96,13.94,0.04,44.62,1.86
5.36,15.67,0.05,41.0,1.9
5.49,16.81,0.02,46.6,1.92
