conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
5.15,3.73,0.07,75.8,2.04,False
5.19,4.11,0.07,68.81,2.04,False
5.25,4.69,0.07,68.81,2.06,False
5.31,5.26,0.07,68.81,2.06,False
5.35,5.64,0.07,68.81,2.06,False
5.42,6.41,0.08,66.3,2.14,False
5.49,7.09,0.07,66.3,2.14,False
5.63,8.44,0.07,42.53,2.22,False
5.7,9.24,0.09,41.87,2.22,False
5.72,9.42,0.09,41.87,2.21,False
5.91,11.41,0.09,37.06,2.21,False
5.93,11.6,0.09,37.06,2.2,False
5.96,11.98,0.09,37.46,2.19,False
6.03,12.74,0.09,37.46,2.19,False
6.05,12.93,0.09,37.46,2.19,False
6.08,13.32,0.09,33.68,2.19,False
6.14,14.1,0.09,33.91,2.19,False
6.16,14.3,0.09,33.91,2.19,False
6.21,14.89,0.1,34.17,2.18,False
6.26,15.47,0.1,34.3,2.18,False
6.27,15.67,0.1,34.3,2.18,False
6.31,16.06,0.1,34.3,2.18,False
6.37,16.84,0.1,34.67,2.18,False
6.38,17.04,0.1,34.67,2.18,False
6.41,17.42,0.1,34.94,2.16,False
6.44,17.15,0.1,34.94,2.16,False
6.5,16.37,0.1,34.94,2.16,False
6.59,15.02,0.08,35.3,2.18,False
5.8,2.0,0.04,77.0,1.38,False
5.76,2.19,0.04,77.0,1.38,False
1.51,0.47,0.0,63.23,1.23,False
3.1,0.47,0.0,31.88,1.21,False
1.39,0.47,0.01,12.75,1.21,False
4.38,3.66,0.02,23.94,1.11,False
4.38,3.84,0.02,43.73,1.11,False
4.41,0.09,0.01,22.27,0.73,False
