,lat,lon,recon_lon,recon_lat,age,prob,method
0,30.0,-110.91,-101.407,34.22,40.0,1.0,QDA
1,63.0,-148.28,-141.201,68.22,40.0,0.31495092827605486,QDA
2,22.72,-105.0,-95.83,26.61,40.0,1.0,QDA
3,36.98,-117.73,-108.064,41.532,40.0,0.9997758835200908,QDA
4,51.58,-123.85,-113.394,56.36600000000001,40.0,0.9999992619230745,QDA
5,60.43,-141.44,-132.957,65.634,40.0,0.9999999999512079,QDA
6,58.8,-128.5,-117.802,63.737,40.0,0.9999999999999991,QDA
7,61.99,-133.76,-123.606,67.069,40.0,0.9999940311532932,QDA
8,64.94,-140.3,-131.298,70.131,40.0,0.9999999999855311,QDA
9,60.29,-156.42,-150.85399999999996,65.413,40.0,0.42505984497561405,QDA
10,26.39,-107.86,-98.508,30.444000000000006,40.0,1.0,QDA
11,19.0,-102.29,-93.326,22.727,40.0,1.0,QDA
12,19.41,-97.48,-88.381,22.812,40.0,1.0,QDA
13,33.54,-114.18,-104.568,37.926,40.0,0.9999999999999829,QDA
14,44.19,-120.28,-110.204,48.844,40.0,1.0,QDA
15,40.3,-121.61,-111.967,45.01600000000001,40.0,0.9999860089776136,QDA
16,54.71,-129.31,-119.23,59.679,40.0,0.9999999927836059,QDA
17,48.19,-118.89,-108.276,52.773,40.0,1.0,QDA
18,56.54,-159.28,-153.862,61.604,40.0,0.9914327784972489,QDA
19,55.22,-161.92,-156.77700000000004,60.217,40.0,0.8248091174212288,QDA
20,61.76,-144.72,-136.863,66.982,40.0,0.3982456987430266,QDA
21,60.75,-148.28,-141.149,65.97,40.0,0.7039674519528408,QDA
22,58.23,-132.14,-122.128,63.273,40.0,0.9999999999999991,QDA
23,60.42,-131.0,-120.518,65.43,40.0,0.9999999996237199,QDA
24,59.77,-134.77,-125.063,64.873,40.0,0.9999999998902356,QDA
25,65.25,-148.28,-141.264,70.469,40.0,0.2899109044229097,QDA
26,64.02,-144.43,-136.469,69.241,40.0,0.2899109044229097,QDA
27,61.26,-137.69,-128.409,66.417,40.0,0.999999999964279,QDA
28,63.5,-136.86,-127.188,68.641,40.0,0.9999999999855311,QDA
29,62.68,-140.91,-132.204,67.878,40.0,0.9999999999855311,QDA
30,58.05,-155.91,-150.062,63.185,40.0,0.7679673657892954,QDA
31,61.7,-152.53,-146.306,66.885,40.0,0.04403731711008936,QDA
32,31.85,-110.07,-100.382,36.019,40.0,1.0,QDA
33,30.4,-108.34,-98.691,34.473,40.0,1.0,QDA
34,28.2,-109.36,-99.928,32.337,40.0,1.0,QDA
35,24.5,-110.96,-96.222,27.129,40.0,1.0,QDA
36,24.56,-106.41,-97.146,28.532,40.0,1.0,QDA
37,20.86,-103.62,-94.55,24.668000000000006,40.0,1.0,QDA
38,24.87,-103.94,-94.572,28.689,40.0,1.0,QDA
39,21.11,-101.2,-92.05,24.761,40.0,1.0,QDA
40,22.98,-102.55,-93.289,26.714,40.0,1.0,QDA
41,17.33,-98.6,-89.686,20.816,40.0,1.0,QDA
42,19.22,-99.89,-90.856,22.788,40.0,1.0,QDA
43,17.41,-96.15,-87.186,20.724,40.0,1.0,QDA
44,27.68,-114.2,-99.618,30.245,40.0,1.0,QDA
45,33.64,-111.7,-101.946,37.895,40.0,0.9999999999998603,QDA
46,31.78,-112.51,-102.946,36.082,40.0,0.9999999999999829,QDA
47,35.27,-115.92,-106.273,39.739,40.0,0.9999999275731598,QDA
48,35.41,-113.39,-103.583,39.751,40.0,1.0,QDA
49,43.87,-123.1,-113.301,48.64,40.0,1.0,QDA
50,41.92,-123.7,-114.104,46.715,40.0,0.9999999999999951,QDA
51,42.25,-120.97,-111.122,46.93600000000001,40.0,1.0,QDA
52,38.66,-119.63,-109.965,43.295,40.0,0.9999980300735393,QDA
53,56.75,-128.93,-118.567,61.70399999999999,40.0,1.0,QDA
54,53.17,-126.48,-116.177,58.049,40.0,0.9945256383158534,QDA
55,53.59,-123.22,-112.444,58.347,40.0,0.9998969044743766,QDA
56,55.2,-125.96,-115.349,60.057,40.0,0.9999999999579603,QDA
57,49.56,-124.42,-114.243,54.371,40.0,0.9991082599866681,QDA
58,51.12,-126.97,-116.938,56.019,40.0,0.9998248347811148,QDA
59,51.93,-120.55,-109.661,56.57899999999999,40.0,0.9991082599866681,QDA
60,47.9,-121.94,-111.665,52.617,40.0,1.0,QDA
61,49.91,-121.28,-110.719,54.595,40.0,1.0,QDA
62,45.89,-122.55,-112.527,50.635,40.0,1.0,QDA
63,46.19,-119.61,-109.28,50.81,40.0,1.0,QDA
64,31.3,-115.09,-100.636,33.845,40.0,1.0,QDA
65,34.72,-118.59,-109.145,39.315,40.0,0.9986444908348788,QDA
66,33.03,-116.81,-107.381,37.546,40.0,0.9999999471616169,QDA
67,38.05,-122.42,-112.999,42.801,40.0,0.9999848151882671,QDA
68,36.41,-120.48,-111.037,41.084,40.0,0.9996795542325787,QDA
69,55.89,-160.62,-155.349,60.92100000000001,40.0,0.40629730784598805,QDA
70,61.1,-143.04,-134.851,66.315,40.0,0.3838816370588557,QDA
71,60.63,-144.84,-137.02200000000002,65.85300000000001,40.0,0.4575725726568604,QDA
72,62.39,-146.46,-138.971,67.61399999999999,40.0,0.2863478514772646,QDA
73,61.87,-148.28,-141.174,67.09,40.0,0.5349427247061754,QDA
74,61.26,-146.53,-139.05100000000002,66.484,40.0,0.477681378838375,QDA
75,59.01,-133.42,-123.546,64.084,40.0,0.9999999996697617,QDA
76,58.67,-135.22,-125.697,63.784,40.0,0.9999999999999933,QDA
77,58.52,-130.33,-119.978,63.51300000000001,40.0,0.9999999999999991,QDA
78,59.61,-129.72,-119.119,64.583,40.0,0.9999999996697617,QDA
79,59.32,-131.59,-121.357,64.347,40.0,0.9999999996697617,QDA
80,61.21,-132.35,-122.018,66.255,40.0,0.9999999998902356,QDA
81,60.88,-134.28,-124.363,65.972,40.0,0.9999887486354512,QDA
82,60.11,-132.9,-122.81,65.17,40.0,0.9999999996237199,QDA
83,63.09,-133.2,-122.778,68.154,40.0,0.9999999999855311,QDA
84,62.31,-131.75,-121.141,67.337,40.0,0.9999999999293068,QDA
85,65.35,-138.13,-128.55100000000002,70.51100000000002,40.0,0.9999999999855311,QDA
86,65.77,-146.23,-138.697,70.994,40.0,0.2899109044229097,QDA
87,64.12,-148.28,-141.23,69.34,40.0,0.3838816370588557,QDA
88,63.52,-146.39,-138.89,68.744,40.0,0.2899109044229097,QDA
89,64.65,-146.31,-138.79399999999998,69.874,40.0,0.2899109044229097,QDA
90,64.49,-142.4,-133.938,69.70100000000001,40.0,0.2899109044229097,QDA
91,65.61,-142.14,-133.554,70.819,40.0,0.2899109044229097,QDA
92,65.15,-144.26,-136.231,70.37100000000002,40.0,0.2899109044229097,QDA
93,59.41,-136.61,-127.274,64.55,40.0,0.9999999998902356,QDA
94,61.64,-135.75,-126.042,66.762,40.0,0.9999975712308212,QDA
95,60.53,-136.2,-126.69,65.661,40.0,0.9999999999293068,QDA
96,60.86,-139.59,-130.719,66.044,40.0,0.9999999999583928,QDA
97,60.14,-138.07,-128.951,65.303,40.0,0.9999999999293068,QDA
98,63.86,-134.76,-124.571,68.959,40.0,0.9999999999855311,QDA
99,62.75,-135.27,-125.337,67.861,40.0,0.9999999999855311,QDA
100,64.23,-138.53,-129.166,69.398,40.0,0.9999999999855311,QDA
101,64.61,-136.4,-126.49,69.742,40.0,0.9999999999855311,QDA
102,63.36,-142.63,-134.273,68.572,40.0,0.2899109044229097,QDA
103,63.81,-140.62,-131.77700000000002,69.005,40.0,0.9999999999855311,QDA
104,62.89,-144.58,-136.675,68.112,40.0,0.2899109044229097,QDA
105,61.55,-141.18,-132.592,66.751,40.0,0.9999999999855311,QDA
106,62.23,-142.84,-134.572,67.444,40.0,0.2899109044229097,QDA
107,62.38,-137.29,-127.827,67.529,40.0,0.9999999999855311,QDA
108,63.1,-138.91,-129.734,68.274,40.0,0.9999999999855311,QDA
109,61.98,-139.26,-130.246,67.15899999999999,40.0,0.9999999999855311,QDA
110,57.31,-157.63,-152.013,62.411,40.0,0.9417213171175454,QDA
111,59.17,-156.16,-150.446,64.29899999999999,40.0,0.5826590199246168,QDA
112,59.54,-158.24,-152.938,64.626,40.0,0.664564237926821,QDA
113,60.12,-150.3,-143.548,65.327,40.0,0.0813614523611055,QDA
114,62.37,-150.45,-143.82399999999996,67.57600000000001,40.0,0.6810491276551246,QDA
115,61.01,-154.52,-148.648,66.167,40.0,0.11338224623009607,QDA
116,59.89,-154.31,-148.311,65.051,40.0,0.2815262828524333,QDA
117,60.58,-152.38,-146.055,65.767,40.0,0.09173937483580226,QDA
118,58.77,-154.12,-148.009,63.934,40.0,0.4529609193560353,QDA
119,63.51,-150.54,-143.99200000000005,68.715,40.0,0.49918245882057827,QDA
120,60.66,-158.61,-153.501,65.736,40.0,0.3817987177944122,QDA
121,62.14,-154.76,-149.035,67.292,40.0,0.08616011248432985,QDA
122,61.42,-156.73,-151.338,66.536,40.0,0.21344923018556758,QDA
123,62.84,-152.7,-146.592,68.02199999999999,40.0,0.726950799355944,QDA
124,32.77,-109.64,-99.854,36.913,40.0,0.9999999999999829,QDA
125,30.93,-110.49,-100.896,35.125,40.0,1.0,QDA
126,30.2,-109.63,-100.054,34.348,40.0,1.0,QDA
127,31.13,-109.2,-99.53,35.251,40.0,0.9999999999999998,QDA
128,29.07,-111.31,-101.895,33.313,40.0,1.0,QDA
129,28.18,-110.53,-101.148,32.382,40.0,1.0,QDA
130,29.1,-110.12,-100.651,33.278,40.0,1.0,QDA
131,26.38,-109.01,-99.701,30.501,40.0,1.0,QDA
132,27.3,-108.6,-99.207,31.395,40.0,1.0,QDA
133,27.28,-109.77,-100.424,31.442,40.0,1.0,QDA
134,25.4,-111.72,-97.02,28.015,40.0,1.0,QDA
135,23.6,-110.22,-95.446,26.243,40.0,1.0,QDA
136,23.64,-105.7,-96.482,27.571,40.0,1.0,QDA
137,25.48,-107.13,-97.821,29.493,40.0,1.0,QDA
138,25.47,-108.27,-99.001,29.55,40.0,1.0,QDA
139,24.56,-107.54,-98.313,28.599,40.0,1.0,QDA
140,18.06,-101.63,-92.721,21.747,40.0,1.0,QDA
141,19.93,-102.95,-93.933,23.697,40.0,1.0,QDA
142,19.94,-104.04,-95.049,23.776,40.0,1.0,QDA
143,19.01,-103.37,-94.43,22.806,40.0,1.0,QDA
144,21.79,-104.31,-95.19,25.639,40.0,1.0,QDA
145,20.87,-104.72,-95.679,24.747,40.0,1.0,QDA
146,19.95,-105.14,-96.176,23.855,40.0,1.0,QDA
147,29.3,-108.85,-99.312,33.405,40.0,1.0,QDA
148,27.48,-107.35,-97.895,31.502,40.0,1.0,QDA
149,28.39,-108.1,-98.603,32.454,40.0,1.0,QDA
150,25.64,-105.89,-96.525,29.578000000000007,40.0,1.0,QDA
151,26.56,-106.61,-97.199,30.539,40.0,1.0,QDA
152,23.8,-104.47,-95.202,27.655,40.0,1.0,QDA
153,24.72,-105.18,-95.863,28.617,40.0,1.0,QDA
154,25.8,-104.65,-95.231,29.661,40.0,1.0,QDA
155,21.92,-103.09,-93.926,25.692,40.0,1.0,QDA
156,22.86,-103.77,-94.553,26.673,40.0,1.0,QDA
157,20.05,-101.75,-92.695,23.74,40.0,1.0,QDA
158,20.99,-102.41,-93.3,24.72,40.0,1.0,QDA
159,22.05,-101.87,-92.664,25.743,40.0,1.0,QDA
160,18.17,-100.43,-91.488,21.777,40.0,1.0,QDA
161,19.11,-101.09,-92.091,22.759,40.0,1.0,QDA
162,17.23,-99.79,-90.906,20.797,40.0,1.0,QDA
163,18.37,-98.04,-89.035,21.814,40.0,1.0,QDA
164,19.32,-98.68,-89.613,22.806,40.0,1.0,QDA
165,18.28,-99.24,-90.265,21.807,40.0,1.0,QDA
166,20.36,-98.12,-88.958,23.804,40.0,1.0,QDA
167,20.17,-100.54,-91.447,23.779,40.0,1.0,QDA
168,20.27,-99.33,-90.202,23.798,40.0,1.0,QDA
169,21.22,-99.99,-90.802,24.79,40.0,1.0,QDA
170,23.93,-103.24,-93.924,27.706,40.0,1.0,QDA
171,17.37,-97.38,-88.441,20.771,40.0,1.0,QDA
172,18.41,-96.81,-87.77799999999998,21.768,40.0,1.0,QDA
173,16.33,-97.93,-89.081,19.772,40.0,1.0,QDA
174,16.4,-95.5,-86.605,19.671,40.0,1.0,QDA
175,16.37,-96.71,-87.837,19.727,40.0,1.0,QDA
176,16.43,-94.27,-85.303,18.77,40.0,1.0,QDA
177,27.92,-112.96,-98.353,30.51,40.0,1.0,QDA
178,26.99,-113.34,-98.718,29.573,40.0,1.0,QDA
179,29.78,-112.18,-102.752,34.069,40.0,0.9999999999999998,QDA
180,29.31,-114.71,-100.187,31.864,40.0,1.0,QDA
181,28.62,-113.83,-99.264,31.192,40.0,1.0,QDA
182,31.82,-111.29,-101.663,36.057,40.0,1.0,QDA
183,30.89,-111.7,-102.166,35.151,40.0,1.0,QDA
184,33.67,-110.45,-100.629,37.856,40.0,0.9999999999999829,QDA
185,32.75,-110.88,-101.158,36.962,40.0,0.9999999999999829,QDA
186,33.59,-112.94,-103.257,37.912,40.0,0.9999999995773825,QDA
187,32.66,-113.34,-103.751,37.004,40.0,1.0,QDA
188,32.71,-112.11,-102.453,36.989,40.0,0.999999999999911,QDA
189,36.29,-114.26,-104.431,40.675,40.0,0.9999999699586906,QDA
190,37.07,-116.44,-106.684,41.56100000000001,40.0,0.9986444908348788,QDA
191,36.13,-116.82,-107.162,40.641,40.0,0.9987970306650448,QDA
192,36.21,-115.54,-105.796,40.659,40.0,0.9990721278899919,QDA
193,34.41,-115.04,-105.408,38.838,40.0,1.0,QDA
194,34.47,-113.79,-104.083,38.834,40.0,1.0,QDA
195,35.35,-114.65,-104.922,39.756,40.0,0.9999999699586906,QDA
