,lat,lon,recon_lon,recon_lat,age,prob,method
0,30.0,-110.91,-101.407,34.22,40.0,0.9687452075928755,SVC_POLY
1,63.0,-148.28,-141.201,68.22,40.0,0.4057521948639162,SVC_POLY
2,22.72,-105.0,-95.83,26.61,40.0,0.9854159950334852,SVC_POLY
3,36.98,-117.73,-108.064,41.532,40.0,0.7396259267140968,SVC_POLY
4,51.58,-123.85,-113.394,56.36600000000001,40.0,0.47496041884950924,SVC_POLY
5,60.43,-141.44,-132.957,65.634,40.0,0.16554700058118935,SVC_POLY
6,58.8,-128.5,-117.802,63.737,40.0,1.0000000994736041e-07,SVC_POLY
7,61.99,-133.76,-123.606,67.069,40.0,0.31025179439249634,SVC_POLY
8,64.94,-140.3,-131.298,70.131,40.0,1.0000000994736041e-07,SVC_POLY
9,60.29,-156.42,-150.85399999999996,65.413,40.0,0.7850973596275675,SVC_POLY
10,26.39,-107.86,-98.508,30.444000000000006,40.0,0.6631994515303801,SVC_POLY
11,19.0,-102.29,-93.326,22.727,40.0,0.9923337155274284,SVC_POLY
12,19.41,-97.48,-88.381,22.812,40.0,0.9865718656253656,SVC_POLY
13,33.54,-114.18,-104.568,37.926,40.0,0.9796399788307973,SVC_POLY
14,44.19,-120.28,-110.204,48.844,40.0,0.3286743699080455,SVC_POLY
15,40.3,-121.61,-111.967,45.01600000000001,40.0,0.7017208874532828,SVC_POLY
16,54.71,-129.31,-119.23,59.679,40.0,0.1435207094029473,SVC_POLY
17,48.19,-118.89,-108.276,52.773,40.0,0.28122701956847745,SVC_POLY
18,56.54,-159.28,-153.862,61.604,40.0,0.6267768559026508,SVC_POLY
19,55.22,-161.92,-156.77700000000004,60.217,40.0,0.7220283919182484,SVC_POLY
20,61.76,-144.72,-136.863,66.982,40.0,0.3378566542336112,SVC_POLY
21,60.75,-148.28,-141.149,65.97,40.0,0.5096760479043264,SVC_POLY
22,58.23,-132.14,-122.128,63.273,40.0,1.0000000994736041e-07,SVC_POLY
23,60.42,-131.0,-120.518,65.43,40.0,0.3504497337151486,SVC_POLY
24,59.77,-134.77,-125.063,64.873,40.0,0.29380291916131285,SVC_POLY
25,65.25,-148.28,-141.264,70.469,40.0,0.2814383900718323,SVC_POLY
26,64.02,-144.43,-136.469,69.241,40.0,0.2814383900718323,SVC_POLY
27,61.26,-137.69,-128.409,66.417,40.0,0.18309947182711608,SVC_POLY
28,63.5,-136.86,-127.188,68.641,40.0,1.0000000994736041e-07,SVC_POLY
29,62.68,-140.91,-132.204,67.878,40.0,1.0000000994736041e-07,SVC_POLY
30,58.05,-155.91,-150.062,63.185,40.0,0.785111346454624,SVC_POLY
31,61.7,-152.53,-146.306,66.885,40.0,0.6241223132766245,SVC_POLY
32,31.85,-110.07,-100.382,36.019,40.0,0.9948412907211641,SVC_POLY
33,30.4,-108.34,-98.691,34.473,40.0,0.9682501533514681,SVC_POLY
34,28.2,-109.36,-99.928,32.337,40.0,0.970602890709767,SVC_POLY
35,24.5,-110.96,-96.222,27.129,40.0,0.9851899253570998,SVC_POLY
36,24.56,-106.41,-97.146,28.532,40.0,0.9840259607978842,SVC_POLY
37,20.86,-103.62,-94.55,24.668000000000006,40.0,0.9949887733423949,SVC_POLY
38,24.87,-103.94,-94.572,28.689,40.0,0.9851899253570998,SVC_POLY
39,21.11,-101.2,-92.05,24.761,40.0,0.9922480690433487,SVC_POLY
40,22.98,-102.55,-93.289,26.714,40.0,0.9955546890612577,SVC_POLY
41,17.33,-98.6,-89.686,20.816,40.0,0.9856563086211471,SVC_POLY
42,19.22,-99.89,-90.856,22.788,40.0,0.9862524867106829,SVC_POLY
43,17.41,-96.15,-87.186,20.724,40.0,0.9746111055259029,SVC_POLY
44,27.68,-114.2,-99.618,30.245,40.0,0.6642994241386414,SVC_POLY
45,33.64,-111.7,-101.946,37.895,40.0,0.9944436346737981,SVC_POLY
