index,lon,lat,age,plate_id
0,-66.28,-27.37,6,202
1,-69.75,-30.5,12,202
2,-66.65,-27.27,9,202
3,-66.61,-27.33,8,202
4,-66.55,-27.4,7,202
5,-66.57,-27.28,8,202
6,-67.9,-26.3,14,202
7,-70.05,-31.95,13,202
8,-66.6,-24.13,13,202
9,-70.45,-31.76,10,202
10,-66.22,-27.38,6,202
11,-66.76,-25.14,15,202
12,-67.75,-29.0,4,202
13,-65.87,-24.2,15,202
14,-69.08,-32.42,14,202
15,-69.1,-32.48,14,202
16,-70.47,-37.43,45,2901
17,-69.97,-32.57,9,2901
18,-67.78,-24.57,29,202
19,-67.73,-24.58,31,202
20,-67.48,-16.92,23,201
21,-66.6,-18.44,21,201
22,-65.75,-19.63,12,201
23,-66.45,-20.95,13,201
24,-66.03,-20.91,16,201
25,-66.0,-18.7,22,201
26,-66.79,-18.14,20,201
27,-67.13,-17.95,15,201
28,-66.19,-20.63,16,201
29,-66.36,-20.48,16,201
30,-69.17,-23.16,44,202
31,-69.23,-27.87,14,202
32,-69.26,-20.04,52,201
33,-69.08,-24.13,37,202
34,-68.9,-22.28,33,201
35,-68.71,-20.96,32,201
36,-68.74,-21.95,36,201
37,-68.89,-20.92,35,201
38,-70.3,-33.15,5,2901
39,-69.72,-18.29,14,201
40,-68.83,-21.92,36,201
41,-69.55,-26.25,42,202
42,-69.08,-22.99,29,202
43,-70.46,-34.09,5,2901
44,-69.06,-22.97,41,202
45,-68.82,-23.41,42,202
46,-69.87,-26.77,63,202
47,-69.08,-24.2,38,202
48,-69.07,-24.27,37,202
49,-69.88,-28.63,34,202
50,-69.28,-27.27,22,202
51,-69.08,-20.18,31,201
52,-69.03,-27.23,13,202
53,-69.51,-23.45,58,202
54,-70.27,-33.13,5,2901
55,-70.5,-31.71,10,202
56,-68.91,-22.38,34,201
57,-69.24,-22.56,64,201
58,-69.02,-27.17,13,202
59,-69.28,-19.81,58,201
60,-68.97,-22.47,36,201
61,-69.12,-23.3,40,202
62,-69.42,-26.49,37,202
63,-68.8,-21.0,36,201
64,-68.97,-19.87,36,201
65,-69.27,-27.38,23,202
66,-70.3,-28.5,64,202
67,-70.27,-33.14,5,2901
68,-69.34,-22.88,64,202
69,-69.3,-22.84,57,202
70,-68.95,-22.42,38,201
71,-68.64,-20.99,35,201
72,-70.23,-32.88,11,2901
73,-69.09,-24.24,39,202
74,-77.32,8.49,48,229
75,-76.75,7.05,55,201
76,-76.5,6.7,43,201
77,-76.88,2.1,17,201
78,-79.15,-1.67,20,201
79,-79.12,-1.38,20,201
80,-79.42,-2.93,11,201
81,-79.33,-3.58,10,201
82,-79.68,-3.05,19,201
83,-78.58,0.33,7,201
84,-80.0,-4.33,14,201
85,-79.58,-4.2,14,201
86,-79.13,-1.57,15,201
87,-77.9,-8.56,5,201
88,-78.18,-8.17,10,201
89,-71.35,-14.96,36,201
90,-79.28,-6.08,15,201
91,-69.9,-17.68,59,201
92,-78.61,-6.76,11,201
93,-76.25,-10.63,14,201
94,-71.55,-16.55,57,201
95,-71.59,-16.54,62,201
96,-72.33,-14.03,36,201
97,-71.36,-16.77,50,201
98,-71.77,-14.46,33,201
99,-71.26,-14.95,31,201
100,-72.35,-14.18,36,201
101,-70.71,-17.05,51,201
102,-70.7,-17.04,51,201
103,-78.32,-7.02,17,201
104,-79.12,-6.36,12,201
105,-78.58,-7.12,10,201
106,-72.99,-14.46,36,201
107,-73.13,-14.16,32,201
108,-77.77,-8.22,15,201
109,-78.32,-7.3,20,201
110,-78.36,-6.91,16,201
111,-69.66,-15.0,23,201
112,-78.0,-8.79,15,201
113,-76.08,-11.48,7,201
114,-71.31,-14.98,38,201
115,-70.62,-17.11,54,201
116,-79.31,-4.94,16,201
117,-78.67,-6.73,13,201
118,-71.31,-14.91,33,201
119,-70.61,-17.25,57,201
120,-76.13,-11.6,8,201
