lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
-69.09,-30.0,0.0,202.0,-69.09,-30.0,0.049,858.0,-72.3,-29.74,9.04,-17.75,1.84,155.33,0.2,95.82,911.0,201.0,22.37,22.37,8.61,-2.76,-1.67,0.77,-7.22,-15.93,6.94,-1.98,40.4,0.12,56.27,106.76,2.02
-77.17,7.63,0.0,201.0,-77.17,7.63,0.021,648.0,-78.15,8.31,2.58,-38.07,2.1,126.91,0.19,126.6,224.0,201.0,1.68,1.68,2.03,-1.59,-1.26,1.68,-0.78,6.94,0.78,0.09,189.04,0.04,74.17,370.05,2.23
-77.17,-7.63,0.0,201.0,-77.17,-7.63,0.065,566.0,-80.66,-9.05,8.41,12.94,2.1,-175.23,0.19,68.75,911.0,201.0,17.16,46.59,8.2,1.88,-2.09,-0.17,-6.34,15.7,6.1,1.72,30.99,0.1,103.54,93.79,2.02
-66.04,-22.56,0.0,201.0,-66.04,-22.56,0.08199999999999999,916.0,-71.1,-22.37,8.98,-17.41,1.95,157.5,0.18,94.81,911.0,201.0,29.84,29.84,8.57,-2.69,-1.8,0.74,-7.04,-15.94,6.77,-1.93,53.13,0.13,37.23,123.9,2.22
-71.8,-15.31,0.0,201.0,-71.8,-15.31,0.046,817.0,-73.79,-17.13,8.83,32.46,2.02,-153.19,0.19,46.08,911.0,201.0,27.81,35.93,7.45,4.74,-1.8,-0.91,-6.82,34.19,5.64,3.83,52.5,0.12,42.3,123.18,2.22
-72.65,-37.36,0.0,2901.0,-72.65,-37.36,0.025,805.0,-74.37,-37.0,8.97,-26.52,1.71,144.1,0.19,105.53,911.0,201.0,14.86,14.86,8.03,-4.01,-1.38,1.0,-7.29,-24.27,6.65,-3.0,32.29,0.1,95.33,94.22,1.78
-69.55,-52.43,0.0,28800.0,-69.55,-52.43,0.085,691.0,-77.13,-51.1,2.01,6.2,1.4,150.07,0.15,94.78,802.0,201.0,0.08,0.08,2.0,0.22,-1.22,0.7,-1.21,49.42,0.79,0.92,20.69,0.02,103.23,116.16,1.63
-78.11,0.0,0.0,201.0,-78.11,0.0,0.047,567.0,-80.64,0.94,7.72,-34.1,2.12,138.66,0.18,115.03,911.0,201.0,6.76,56.98,6.39,-4.33,-1.59,1.4,-5.62,-31.29,4.81,-2.92,9.44,0.04,76.72,56.73,1.54
-75.65,3.82,0.0,201.0,-75.65,3.82,0.046,658.0,-77.96,5.1,2.95,-46.9,2.11,118.41,0.01,135.2,224.0,201.0,1.76,61.99,2.02,-2.16,-1.01,1.86,-1.06,-15.96,1.02,-0.29,123.87,0.0,74.11,83.51,1.42
-72.99,7.62,0.0,225.0,-72.99,7.62,0.079,704.0,-76.77,10.16,2.37,-41.37,2.09,127.33,0.2,126.12,224.0,201.0,2.66,3.97,1.78,-1.57,-1.27,1.66,-0.53,11.16,0.52,0.1,189.04,0.04,48.66,370.05,2.65
-79.63,-3.82,0.0,201.0,-79.63,-3.82,0.036000000000000004,517.0,-81.69,-3.46,8.04,-14.91,2.12,156.88,0.2,96.81,911.0,201.0,11.32,52.42,7.77,-2.07,-1.95,0.83,-5.95,-11.92,5.83,-1.23,30.76,0.1,133.42,93.82,1.78
-67.52,-26.29,0.0,202.0,-67.52,-26.29,0.062,886.0,-71.49,-25.98,9.02,-18.22,1.89,155.91,0.2,95.87,911.0,201.0,26.21,26.21,8.57,-2.82,-1.73,0.77,-7.14,-16.6,6.85,-2.04,47.29,0.13,50.31,116.49,2.16
-68.98,-18.96,0.0,201.0,-68.98,-18.96,0.044,889.0,-71.44,-19.95,8.92,7.74,1.98,-177.15,0.18,69.75,911.0,201.0,31.44,32.3,8.84,1.2,-1.98,-0.1,-6.95,9.19,6.86,1.11,55.56,0.14,37.78,126.77,2.22
-74.52,-11.48,0.0,201.0,-74.52,-11.48,0.067,688.0,-77.21,-14.26,8.7,34.5,2.06,-152.48,0.19,45.65,911.0,201.0,23.4,40.35,7.17,4.93,-1.83,-0.95,-6.66,36.71,5.34,3.98,43.89,0.1,68.88,111.9,2.13
-70.79,-33.69,0.0,2901.0,-70.79,-33.69,0.03,837.0,-72.76,-33.28,9.02,-32.41,1.77,139.76,0.19,110.68,911.0,201.0,18.81,18.81,7.62,-4.83,-1.35,1.15,-7.27,-30.44,6.27,-3.68,36.98,0.1,81.01,101.6,1.99
-71.2,-44.75,0.0,283.0,-71.2,-44.75,0.056,746.0,-75.59,-45.6,2.23,20.83,1.53,168.02,0.11,79.01,802.0,201.0,6.13,6.13,2.09,0.79,-1.49,0.32,-1.26,61.88,0.59,1.11,0.79,0.0,20.17,64.53,0.86
