conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
9.04,22.37,0.12,56.27,2.02
2.58,1.68,0.04,74.17,2.23
8.41,17.16,0.1,103.54,2.02
8.98,29.84,0.13,37.23,2.22
8.83,27.81,0.12,42.3,2.22
8.97,14.86,0.1,95.33,1.78
2.01,0.08,0.02,103.23,1.63
7.72,6.76,0.04,76.72,1.54
2.95,1.76,0.0,74.11,1.42
2.37,2.66,0.04,48.66,2.65
8.04,11.32,0.1,133.42,1.78
9.02,26.21,0.13,50.31,2.16
8.92,31.44,0.14,37.78,2.22
8.7,23.4,0.1,68.88,2.13
9.02,18.81,0.1,81.01,1.99
2.23,6.13,0.0,20.17,0.86
8.89,11.29,0.07,99.9,1.49
2.16,4.2,0.0,54.96,1.34
7.59,4.81,0.03,57.14,1.21
3.07,2.99,0.01,66.2,1.42
7.53,3.62,0.02,66.2,1.42
2.9,1.32,0.03,74.17,2.23
2.9,1.32,0.03,74.17,2.23
2.46,2.99,0.04,48.66,2.65
2.95,1.71,0.02,74.11,1.42
2.17,0.1,0.03,49.61,2.76
2.27,1.48,0.04,48.66,2.65
7.8,7.96,0.05,133.35,1.54
7.89,9.26,0.04,145.83,1.8
8.27,14.84,0.1,104.75,1.74
8.04,11.32,0.1,133.42,1.78
8.51,19.11,0.11,81.96,2.04
8.37,16.39,0.1,103.54,1.74
8.24,14.26,0.1,104.84,1.74
8.79,26.26,0.11,59.08,2.23
9.04,24.3,0.12,54.17,2.15
9.03,24.67,0.12,52.27,2.15
9.03,26.02,0.13,50.31,2.16
9.0,28.16,0.13,43.24,2.18
8.98,29.84,0.13,37.23,2.22
9.01,27.97,0.13,43.24,2.18
8.93,31.8,0.14,37.78,2.22
8.96,30.73,0.13,37.23,2.22
8.87,29.14,0.12,40.34,2.2
8.88,29.9,0.12,37.78,2.21
8.91,30.69,0.14,37.78,2.21
8.94,31.43,0.13,37.23,2.22
8.62,21.46,0.11,68.88,2.07
8.55,19.9,0.11,72.45,2.04
8.77,25.5,0.11,59.08,2.16
8.72,24.16,0.1,155.83,2.13
8.83,27.81,0.12,42.3,2.22
9.0,17.12,0.1,92.18,1.9
9.03,20.39,0.12,78.06,1.99
9.04,23.74,0.12,54.17,2.15
9.02,19.01,0.12,81.01,1.99
9.03,20.79,0.12,75.53,2.0
8.98,15.42,0.1,95.33,1.81
9.01,17.68,0.1,81.01,1.9
8.88,10.97,0.08,99.9,1.49
8.94,13.21,0.08,107.08,1.73
8.77,7.31,0.06,76.88,0.91
8.83,9.23,0.06,89.47,1.4
2.2,5.2,0.01,54.96,0.86
2.01,0.08,0.02,103.23,1.63
2.03,0.53,0.02,103.23,1.63
2.04,0.7,0.02,101.72,1.61
2.21,5.37,0.0,20.17,0.86
2.17,4.35,0.01,54.96,1.34
2.21,5.55,0.0,20.17,0.86
7.74,7.12,0.05,76.72,1.54
7.64,5.52,0.04,57.14,1.42
7.68,6.16,0.03,57.14,1.54
7.65,5.72,0.04,57.14,1.42
7.53,3.62,0.02,66.2,1.42
7.59,4.81,0.03,57.14,1.21
7.52,3.46,0.03,66.2,1.42
3.06,2.85,0.02,66.2,1.42
3.07,2.99,0.01,66.2,1.42
3.07,2.99,0.01,66.2,1.42
2.95,1.71,0.02,74.11,1.42
2.95,1.71,0.02,74.11,1.42
2.99,2.2,0.05,74.11,1.42
2.83,0.71,0.05,74.17,2.23
7.57,4.35,0.03,66.2,1.21
3.07,2.99,0.01,66.2,1.42
2.48,2.8,0.04,48.66,2.65
2.27,1.48,0.04,48.66,2.65
2.86,0.96,0.04,74.17,2.23
2.53,2.24,0.04,48.66,2.23
2.95,1.71,0.02,74.11,1.42
2.9,1.32,0.03,74.17,2.23
2.88,1.08,0.04,74.17,2.23
2.41,3.05,0.04,48.66,2.65
2.86,0.96,0.04,74.17,2.23
2.95,1.76,0.0,74.11,1.42
2.95,1.71,0.02,74.11,1.42
2.94,1.62,0.03,74.11,2.23
2.9,1.32,0.03,74.17,2.23
2.32,2.07,0.04,48.66,2.65
2.19,0.49,0.03,49.61,2.76
2.41,3.05,0.04,48.66,2.65
2.3,1.87,0.04,48.66,2.65
2.37,2.66,0.04,48.66,2.65
2.21,0.69,0.03,49.61,2.76
2.17,0.1,0.03,49.61,2.76
2.17,0.1,0.03,49.61,2.76
2.18,0.3,0.03,49.61,2.76
2.17,0.1,0.03,49.61,2.76
7.76,7.31,0.06,133.35,1.54
7.72,6.76,0.04,76.72,1.54
7.81,8.12,0.05,133.35,1.54
7.78,7.65,0.05,133.35,1.54
7.85,8.62,0.05,145.83,1.8
7.99,10.56,0.07,133.42,1.78
7.91,9.52,0.09,145.83,1.79
8.11,12.31,0.1,106.94,1.76
8.11,12.31,0.1,106.94,1.76
8.04,11.32,0.1,133.42,1.78
8.34,16.0,0.1,103.54,1.74
8.38,16.58,0.1,103.54,1.73
8.3,15.23,0.1,104.75,1.74
8.08,11.91,0.1,106.94,1.76
7.89,9.26,0.04,145.83,1.8
7.98,10.42,0.07,133.42,1.78
7.96,10.15,0.07,145.83,1.79
8.47,18.33,0.1,81.96,2.02
8.39,16.77,0.1,103.54,1.73
8.45,17.94,0.1,81.96,2.02
8.06,11.52,0.1,106.94,1.76
8.3,15.23,0.1,104.75,1.74
8.32,15.61,0.1,103.54,1.74
8.12,12.5,0.1,104.49,1.75
8.25,14.46,0.09,104.75,1.73
8.12,12.5,0.1,104.49,1.75
8.85,28.38,0.12,40.34,2.2
8.82,27.62,0.09,42.3,2.22
8.83,27.81,0.12,42.3,2.22
8.77,25.69,0.11,59.08,2.16
9.03,25.24,0.12,52.27,2.15
9.04,23.55,0.12,56.27,2.03
9.04,23.74,0.12,54.17,2.15
9.04,24.49,0.12,54.17,2.15
9.03,25.43,0.13,52.27,2.15
9.03,26.02,0.13,50.31,2.16
9.03,25.43,0.13,52.27,2.15
9.01,27.19,0.13,43.24,2.17
9.01,27.97,0.13,43.24,2.18
9.02,26.99,0.13,43.24,2.17
8.99,29.13,0.12,40.72,2.2
8.98,29.84,0.13,37.23,2.22
8.99,28.95,0.14,40.72,2.2
8.98,29.66,0.12,40.72,2.2
8.99,28.75,0.14,40.72,2.2
8.99,28.75,0.14,40.72,2.2
9.02,26.99,0.13,43.24,2.17
9.01,27.77,0.13,43.24,2.18
8.96,30.55,0.13,37.23,2.22
8.97,30.37,0.13,37.23,2.22
8.94,31.77,0.13,37.23,2.22
8.93,31.62,0.14,37.78,2.22
8.94,31.77,0.13,37.23,2.22
8.94,31.77,0.13,37.23,2.22
8.88,29.9,0.12,37.78,2.21
8.88,29.9,0.12,37.78,2.21
8.89,30.3,0.14,37.78,2.21
8.85,28.57,0.12,40.34,2.2
8.86,28.95,0.12,40.34,2.2
8.88,29.71,0.12,40.34,2.2
8.91,30.69,0.14,37.78,2.21
8.91,30.89,0.14,37.78,2.21
8.89,30.3,0.14,37.78,2.21
8.91,30.89,0.14,37.78,2.21
8.91,31.08,0.14,37.78,2.22
8.97,30.37,0.13,37.23,2.22
8.97,30.37,0.13,37.23,2.22
8.93,31.8,0.14,37.78,2.22
8.95,31.08,0.13,37.23,2.22
8.91,31.08,0.14,37.78,2.22
8.87,29.33,0.12,40.34,2.2
8.46,18.13,0.1,81.96,2.02
8.53,19.5,0.11,81.96,2.04
8.51,19.11,0.11,81.96,2.04
8.56,20.09,0.11,72.45,2.04
8.65,22.05,0.11,68.88,2.12
8.62,21.46,0.11,68.88,2.07
8.59,20.68,0.11,72.45,2.07
8.76,25.31,0.11,59.08,2.16
8.74,24.54,0.11,155.83,2.13
8.82,27.62,0.09,42.3,2.22
8.78,25.88,0.11,59.08,2.16
8.73,24.35,0.11,155.83,2.13
8.7,23.59,0.1,155.83,2.13
8.75,24.93,0.11,59.08,2.16
8.68,22.82,0.1,68.88,2.12
8.83,28.0,0.12,42.3,2.22
8.83,27.81,0.12,42.3,2.22
8.53,19.5,0.11,81.96,2.04
8.65,22.05,0.11,68.88,2.12
8.59,20.68,0.11,72.45,2.07
8.76,25.31,0.11,59.08,2.16
8.72,23.97,0.1,155.83,2.13
8.82,27.62,0.09,42.3,2.22
8.95,13.54,0.09,104.31,1.73
8.99,15.99,0.09,95.33,1.81
9.01,18.06,0.1,81.01,1.9
9.03,19.4,0.12,81.01,1.99
9.03,20.19,0.12,78.06,1.99
9.04,21.38,0.12,75.53,2.0
9.04,21.98,0.12,56.27,2.02
9.04,21.19,0.12,75.53,2.0
9.04,22.97,0.13,56.27,2.03
9.02,26.41,0.13,50.31,2.16
9.01,27.38,0.13,43.24,2.17
9.03,25.24,0.12,52.27,2.15
9.03,25.43,0.13,52.27,2.15
9.04,22.57,0.12,56.27,2.02
9.04,24.11,0.12,54.17,2.15
9.03,20.59,0.12,78.06,1.99
9.04,21.38,0.12,75.53,2.0
9.02,19.01,0.12,81.01,1.99
9.03,19.6,0.12,81.01,1.99
9.02,19.01,0.12,81.01,1.99
9.03,19.8,0.12,78.06,1.99
9.01,17.31,0.1,92.18,1.9
9.02,18.44,0.1,81.01,1.9
8.97,15.05,0.1,95.33,1.78
9.0,16.55,0.1,92.18,1.9
8.98,15.61,0.1,95.33,1.81
9.0,17.12,0.1,92.18,1.9
9.0,16.55,0.1,92.18,1.9
9.02,18.62,0.1,81.01,1.99
