,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,0.7069392914531102,AdaBoost
1,7.63,-77.17,-77.17,7.63,0.0,0.851235917966987,AdaBoost
2,-7.63,-77.17,-77.17,-7.63,0.0,0.7069392914531102,AdaBoost
3,-22.56,-66.04,-66.04,-22.56,0.0,0.7069392914531102,AdaBoost
4,-15.31,-71.8,-71.8,-15.31,0.0,0.7069392914531102,AdaBoost
5,-37.36,-72.65,-72.65,-37.36,0.0,0.05901944077854178,AdaBoost
6,-52.43,-69.55,-69.55,-52.43,0.0,0.1295105843164288,AdaBoost
7,0.0,-78.11,-78.11,0.0,0.0,0.12180153106540967,AdaBoost
8,3.82,-75.65,-75.65,3.82,0.0,0.1295105843164288,AdaBoost
9,7.62,-72.99,-72.99,7.62,0.0,0.9959752674907448,AdaBoost
10,-3.82,-79.63,-79.63,-3.82,0.0,0.021086433654169033,AdaBoost
11,-26.29,-67.52,-67.52,-26.29,0.0,0.7069392914531102,AdaBoost
12,-18.96,-68.98,-68.98,-18.96,0.0,0.7069392914531102,AdaBoost
13,-11.48,-74.52,-74.52,-11.48,0.0,0.7069392914531102,AdaBoost
14,-33.69,-70.79,-70.79,-33.69,0.0,0.7069392914531102,AdaBoost
15,-44.75,-71.2,-71.2,-44.75,0.0,0.1295105843164288,AdaBoost
16,-41.04,-69.24,-69.24,-41.04,0.0,0.05901944077854178,AdaBoost
17,-48.57,-73.54,-73.54,-48.57,0.0,0.1295105843164288,AdaBoost
18,0.0,-76.12,-76.12,0.0,0.0,0.12180153106540967,AdaBoost
19,1.91,-74.89,-74.89,1.91,0.0,0.1295105843164288,AdaBoost
20,1.91,-76.88,-76.88,1.91,0.0,0.12180153106540967,AdaBoost
21,5.72,-76.41,-76.41,5.72,0.0,0.851235917966987,AdaBoost
22,5.72,-74.32,-74.32,5.72,0.0,0.851235917966987,AdaBoost
23,7.63,-75.08,-75.08,7.63,0.0,0.9959752674907448,AdaBoost
24,3.8,-73.57,-73.57,3.8,0.0,0.1295105843164288,AdaBoost
25,11.47,-72.4,-72.4,11.47,0.0,0.9959752674907448,AdaBoost
26,9.55,-73.75,-73.75,9.55,0.0,0.9959752674907448,AdaBoost
27,-1.91,-76.88,-76.88,-1.91,0.0,0.12180153106540967,AdaBoost
28,-1.91,-78.87,-78.87,-1.91,0.0,0.12180153106540967,AdaBoost
29,-5.73,-78.4,-78.4,-5.73,0.0,0.05901944077854178,AdaBoost
30,-3.82,-77.64,-77.64,-3.82,0.0,0.021086433654169033,AdaBoost
31,-9.54,-77.94,-77.94,-9.54,0.0,0.7069392914531102,AdaBoost
32,-7.65,-79.19,-79.19,-7.65,0.0,0.05901944077854178,AdaBoost
33,-5.74,-80.41,-80.41,-5.74,0.0,0.05901944077854178,AdaBoost
34,-15.32,-73.93,-73.93,-15.32,0.0,0.7069392914531102,AdaBoost
