,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,0.1765227532588865,Neural_Network
1,7.63,-77.17,-77.17,7.63,0.0,0.4675574783927915,Neural_Network
2,-7.63,-77.17,-77.17,-7.63,0.0,0.45639287256104066,Neural_Network
3,-22.56,-66.04,-66.04,-22.56,0.0,0.3422991904238895,Neural_Network
4,-15.31,-71.8,-71.8,-15.31,0.0,0.3671672249894467,Neural_Network
5,-37.36,-72.65,-72.65,-37.36,0.0,0.10017228326241906,Neural_Network
6,-52.43,-69.55,-69.55,-52.43,0.0,0.0005174120755619093,Neural_Network
7,0.0,-78.11,-78.11,0.0,0.0,0.0014315147537149917,Neural_Network
8,3.82,-75.65,-75.65,3.82,0.0,0.0001641999655279368,Neural_Network
9,7.62,-72.99,-72.99,7.62,0.0,0.9975255750887458,Neural_Network
10,-3.82,-79.63,-79.63,-3.82,0.0,0.20019966022942878,Neural_Network
11,-26.29,-67.52,-67.52,-26.29,0.0,0.4379719244480534,Neural_Network
12,-18.96,-68.98,-68.98,-18.96,0.0,0.3605804154141267,Neural_Network
13,-11.48,-74.52,-74.52,-11.48,0.0,0.30041727052369793,Neural_Network
14,-33.69,-70.79,-70.79,-33.69,0.0,0.2910707613499129,Neural_Network
15,-44.75,-71.2,-71.2,-44.75,0.0,3.3365181148933436e-06,Neural_Network
16,-41.04,-69.24,-69.24,-41.04,0.0,0.003327482582796388,Neural_Network
17,-48.57,-73.54,-73.54,-48.57,0.0,0.00010131429398097413,Neural_Network
18,0.0,-76.12,-76.12,0.0,0.0,0.00012584756592738357,Neural_Network
19,1.91,-74.89,-74.89,1.91,0.0,0.00015397430335602368,Neural_Network
20,1.91,-76.88,-76.88,1.91,0.0,0.0006116743266959848,Neural_Network
21,5.72,-76.41,-76.41,5.72,0.0,0.5130658436335421,Neural_Network
22,5.72,-74.32,-74.32,5.72,0.0,0.5130658436335421,Neural_Network
23,7.63,-75.08,-75.08,7.63,0.0,0.9974430096024168,Neural_Network
24,3.8,-73.57,-73.57,3.8,0.0,0.00013966554290346375,Neural_Network
25,11.47,-72.4,-72.4,11.47,0.0,0.9995896150576874,Neural_Network
26,9.55,-73.75,-73.75,9.55,0.0,0.9979278927636572,Neural_Network
27,-1.91,-76.88,-76.88,-1.91,0.0,0.005833918731454889,Neural_Network
28,-1.91,-78.87,-78.87,-1.91,0.0,0.06376749145093705,Neural_Network
29,-5.73,-78.4,-78.4,-5.73,0.0,0.04149375401927753,Neural_Network
30,-3.82,-77.64,-77.64,-3.82,0.0,0.20019966022942878,Neural_Network
31,-9.54,-77.94,-77.94,-9.54,0.0,0.38099155469613444,Neural_Network
32,-7.65,-79.19,-79.19,-7.65,0.0,0.03176339902833237,Neural_Network
33,-5.74,-80.41,-80.41,-5.74,0.0,0.04569827769798235,Neural_Network
34,-15.32,-73.93,-73.93,-15.32,0.0,0.5275741999914393,Neural_Network
35,-28.2,-70.64,-70.64,-28.2,0.0,0.44201898109841353,Neural_Network
36,-28.15,-68.29,-68.29,-28.15,0.0,0.4028694354504345,Neural_Network
37,-26.36,-69.83,-69.83,-26.36,0.0,0.44734978193198843,Neural_Network
38,-24.42,-66.77,-66.77,-24.42,0.0,0.35761804408857734,Neural_Network
39,-22.64,-68.28,-68.28,-22.64,0.0,0.3422991904238895,Neural_Network
40,-24.5,-69.04,-69.04,-24.5,0.0,0.36650815679961257,Neural_Network
41,-18.9,-66.81,-66.81,-18.9,0.0,0.35206682664035865,Neural_Network
42,-20.76,-67.53,-67.53,-20.76,0.0,0.3123900095701278,Neural_Network
43,-15.28,-69.67,-69.67,-15.28,0.0,0.25418248835268714,Neural_Network
44,-17.14,-70.4,-70.4,-17.14,0.0,0.23567225798966904,Neural_Network
45,-17.09,-68.26,-68.26,-17.09,0.0,0.3503863658551343,Neural_Network
46,-20.83,-69.74,-69.74,-20.83,0.0,0.28905354213061035,Neural_Network
47,-11.47,-76.62,-76.62,-11.47,0.0,0.2859652084995353,Neural_Network
48,-9.56,-75.85,-75.85,-9.56,0.0,0.28765767046297797,Neural_Network
49,-13.4,-73.17,-73.17,-13.4,0.0,0.31910421573800485,Neural_Network
50,-13.4,-75.28,-75.28,-13.4,0.0,0.7269103048455944,Neural_Network
51,-13.38,-71.04,-71.04,-13.38,0.0,0.3671672249894467,Neural_Network
52,-35.53,-71.7,-71.7,-35.53,0.0,0.2123010072154953,Neural_Network
