,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,0.19889349939883122,QDA
1,7.63,-77.17,-77.17,7.63,0.0,0.44588292768087634,QDA
2,-7.63,-77.17,-77.17,-7.63,0.0,2.5994765202928898e-11,QDA
3,-22.56,-66.04,-66.04,-22.56,0.0,0.7309259149977547,QDA
4,-15.31,-71.8,-71.8,-15.31,0.0,0.18902115810430198,QDA
5,-37.36,-72.65,-72.65,-37.36,0.0,6.631977910542059e-06,QDA
6,-52.43,-69.55,-69.55,-52.43,0.0,2.8116978163655546e-10,QDA
7,0.0,-78.11,-78.11,0.0,0.0,3.2166391197571316e-08,QDA
8,3.82,-75.65,-75.65,3.82,0.0,4.532109261632411e-09,QDA
9,7.62,-72.99,-72.99,7.62,0.0,0.9999999999997677,QDA
10,-3.82,-79.63,-79.63,-3.82,0.0,1.3522460128028192e-14,QDA
11,-26.29,-67.52,-67.52,-26.29,0.0,0.3917508141522149,QDA
12,-18.96,-68.98,-68.98,-18.96,0.0,0.9668377758818626,QDA
13,-11.48,-74.52,-74.52,-11.48,0.0,5.6850534632865776e-05,QDA
14,-33.69,-70.79,-70.79,-33.69,0.0,3.8054436119576397e-06,QDA
15,-44.75,-71.2,-71.2,-44.75,0.0,3.35243585045161e-23,QDA
16,-41.04,-69.24,-69.24,-41.04,0.0,1.4374272474851923e-07,QDA
17,-48.57,-73.54,-73.54,-48.57,0.0,1.0674888275557549e-09,QDA
18,0.0,-76.12,-76.12,0.0,0.0,3.471853843569894e-10,QDA
19,1.91,-74.89,-74.89,1.91,0.0,1.680187153233261e-08,QDA
20,1.91,-76.88,-76.88,1.91,0.0,7.032568330431111e-09,QDA
21,5.72,-76.41,-76.41,5.72,0.0,0.7835257313352438,QDA
22,5.72,-74.32,-74.32,5.72,0.0,0.7835257313352438,QDA
23,7.63,-75.08,-75.08,7.63,0.0,0.9999999999996205,QDA
24,3.8,-73.57,-73.57,3.8,0.0,7.531420574186615e-08,QDA
25,11.47,-72.4,-72.4,11.47,0.0,1.0,QDA
26,9.55,-73.75,-73.75,9.55,0.0,0.999999999999958,QDA
27,-1.91,-76.88,-76.88,-1.91,0.0,4.038642143782799e-18,QDA
28,-1.91,-78.87,-78.87,-1.91,0.0,1.0018742260981567e-26,QDA
29,-5.73,-78.4,-78.4,-5.73,0.0,1.1021197814971563e-06,QDA
30,-3.82,-77.64,-77.64,-3.82,0.0,1.3522460128028192e-14,QDA
31,-9.54,-77.94,-77.94,-9.54,0.0,8.121874692184096e-06,QDA
32,-7.65,-79.19,-79.19,-7.65,0.0,1.947678910996432e-06,QDA
33,-5.74,-80.41,-80.41,-5.74,0.0,1.0853868296066261e-06,QDA
34,-15.32,-73.93,-73.93,-15.32,0.0,0.001609380807375928,QDA
35,-28.2,-70.64,-70.64,-28.2,0.0,0.03498512861567162,QDA
36,-28.15,-68.29,-68.29,-28.15,0.0,0.053249759530636175,QDA
37,-26.36,-69.83,-69.83,-26.36,0.0,0.3816459128601882,QDA
38,-24.42,-66.77,-66.77,-24.42,0.0,0.6377973429079685,QDA
39,-22.64,-68.28,-68.28,-22.64,0.0,0.7309259149977547,QDA
40,-24.5,-69.04,-69.04,-24.5,0.0,0.62382231397707,QDA
41,-18.9,-66.81,-66.81,-18.9,0.0,0.9717283044130722,QDA
42,-20.76,-67.53,-67.53,-20.76,0.0,0.799444333029446,QDA
43,-15.28,-69.67,-69.67,-15.28,0.0,0.38204267533822134,QDA
44,-17.14,-70.4,-70.4,-17.14,0.0,0.49918971930609773,QDA
45,-17.09,-68.26,-68.26,-17.09,0.0,0.9634444999266659,QDA
46,-20.83,-69.74,-69.74,-20.83,0.0,0.8485754739808208,QDA
47,-11.47,-76.62,-76.62,-11.47,0.0,0.00043678780426046216,QDA
48,-9.56,-75.85,-75.85,-9.56,0.0,0.000254454409431975,QDA
49,-13.4,-73.17,-73.17,-13.4,0.0,0.00340075151478489,QDA
50,-13.4,-75.28,-75.28,-13.4,0.0,4.824880184994057e-31,QDA
51,-13.38,-71.04,-71.04,-13.38,0.0,0.18902115810430198,QDA
52,-35.53,-71.7,-71.7,-35.53,0.0,4.318787525000859e-07,QDA
53,-31.85,-69.93,-69.93,-31.85,0.0,0.002888682863427783,QDA
54,-29.55,-66.55,-66.55,-29.55,0.0,0.03192981093146267,QDA
55,-33.64,-68.3,-68.3,-33.64,0.0,0.0010244828944102188,QDA
56,-31.78,-67.49,-67.49,-31.78,0.0,0.004675957089180335,QDA
57,-37.35,-70.04,-70.04,-37.35,0.0,2.2525889831018165e-06,QDA
58,-35.5,-69.16,-69.16,-35.5,0.0,3.183241851765608e-05,QDA
59,-41.05,-71.96,-71.96,-41.05,0.0,8.11672412587368e-06,QDA
60,-39.21,-70.99,-70.99,-39.21,0.0,2.1252656786154744e-10,QDA
61,-44.71,-74.09,-74.09,-44.71,0.0,0.0022481547141284266,QDA
62,-42.9,-70.19,-70.19,-42.9,0.0,3.768065994830038e-07,QDA
63,-46.59,-75.32,-75.32,-46.59,0.0,4.121659651475154e-14,QDA
64,-52.36,-72.82,-72.82,-52.36,0.0,2.8116978163655546e-10,QDA
65,-50.52,-71.63,-71.63,-50.52,0.0,1.9846008738051085e-10,QDA
66,-50.39,-74.77,-74.77,-50.39,0.0,3.612716874182088e-10,QDA
67,-46.67,-72.33,-72.33,-46.67,0.0,4.159180637703762e-23,QDA
68,-48.6,-70.44,-70.44,-48.6,0.0,3.25108753657476e-09,QDA
69,-46.66,-69.33,-69.33,-46.66,0.0,3.955616252656472e-23,QDA
70,0.0,-79.1,-79.1,0.0,0.0,1.7294427718891192e-07,QDA
